locusId	sysName	desc	comb
SM_b21402	SM_b21402	hypothetical protein	SM_b21402 hypothetical protein
SM_b21403	SM_b21403	hypothetical protein	SM_b21403 hypothetical protein
SM_b21404	SM_b21404	hypothetical protein	SM_b21404 hypothetical protein
SM_b21405	SM_b21405	isochorismatase	SM_b21405 isochorismatase
SM_b21406	SM_b21406	hypothetical protein	SM_b21406 hypothetical protein
SM_b21407	SM_b21407	hypothetical protein	SM_b21407 hypothetical protein
SM_b21408	SM_b21408	LysR family transcriptional regulator	SM_b21408 LysR family transcriptional regulator
SM_b21410	SM_b21410	methyltransferase, S-adenosyl-L-methionine (SAM)-MTase	SM_b21410 methyltransferase, S-adenosyl-L-methionine (SAM)-MTase
SM_b21411	SM_b21411	hypothetical protein	SM_b21411 hypothetical protein
SM_b21412	SM_b21412	hypothetical protein	SM_b21412 hypothetical protein
SM_b21414	SM_b21414	amino acid decarboxylase	SM_b21414 amino acid decarboxylase
SM_b21415	SM_b21415	oxidoreductase, oxygen dependent, FAD-dependent protein	SM_b21415 oxidoreductase, oxygen dependent, FAD-dependent protein
SM_b21416	SM_b21416	glucose-1-phosphate cytidylyltransferase	SM_b21416 glucose-1-phosphate cytidylyltransferase
SM_b21417	SM_b21417	CDP-glucose 4,6-dehydratase	SM_b21417 CDP-glucose 4,6-dehydratase
SM_b21418	SM_b21418	NDP-hexose 3-C-methyltransferase	SM_b21418 NDP-hexose 3-C-methyltransferase
SM_b21419	SM_b21419	AraC family transcriptional regulator	SM_b21419 AraC family transcriptional regulator
SM_b21420	SM_b21420	L-arabinose isomerase	SM_b21420 L-arabinose isomerase
SM_b21421	SM_b21421	sugar uptake ABC transporter substrate-binding protein precursor	SM_b21421 sugar uptake ABC transporter substrate-binding protein precursor
SM_b21422	SM_b21422	sugar uptake ABC transporter ATP-binding protein	SM_b21422 sugar uptake ABC transporter ATP-binding protein
SM_b21423	SM_b21423	sugar uptake ABC transporter permease	SM_b21423 sugar uptake ABC transporter permease
SM_b21424	SM_b21424	esterase or acylase	SM_b21424 esterase or acylase
SM_b21425	SM_b21425	hypothetical protein	SM_b21425 hypothetical protein
SM_b21426	SM_b21426	sugar nucleotide oxidoreductaseepimerase	SM_b21426 sugar nucleotide oxidoreductaseepimerase
SM_b21427	SM_b21427	acetyltransferase	SM_b21427 acetyltransferase
SM_b21428	SM_b21428	dTDP-4-dehydrorhamnose 3,5-epimerase	SM_b21428 dTDP-4-dehydrorhamnose 3,5-epimerase
SM_b21429	SM_b21429	iron ABC transporter ATP-binding protein	SM_b21429 iron ABC transporter ATP-binding protein
SM_b21430	SM_b21430	iron ABC transporter permease	SM_b21430 iron ABC transporter permease
SM_b21431	SM_b21431	hypothetical protein	SM_b21431 hypothetical protein
SM_b21432	SM_b21432	iron uptake ABC transporter substrate-binding protein precursor	SM_b21432 iron uptake ABC transporter substrate-binding protein precursor
SM_b21433	SM_b21433	methyl-transferase, S-adenosyl-L-methionine (SAM)-MTase	SM_b21433 methyl-transferase, S-adenosyl-L-methionine (SAM)-MTase
SM_b21434	SM_b21434	LysR family transcriptional regulator	SM_b21434 LysR family transcriptional regulator
SM_b21435	SM_b21435	allantoate amidohydrolase	SM_b21435 allantoate amidohydrolase
SM_b21436	SM_b21436	C4-dicarboxylate transport system, permease large protein transmembrane	SM_b21436 C4-dicarboxylate transport system, permease large protein transmembrane
SM_b21437	SM_b21437	C4-dicarboxylate transport system, permease small protein transmembrane	SM_b21437 C4-dicarboxylate transport system, permease small protein transmembrane
SM_b21438	SM_b21438	C4-dicarboxylate transport system, C4-dicarboxylate-binding protein precursor signal peptide	SM_b21438 C4-dicarboxylate transport system, C4-dicarboxylate-binding protein precursor signal peptide
SM_b21439	SM_b21439	translation initiation inhibitor protein	SM_b21439 translation initiation inhibitor protein
SM_b21440	SM_b21440	hypothetical protein	SM_b21440 hypothetical protein
SM_b21441	SM_b21441	inosine-5'-monophosphate dehydrogenase	SM_b21441 inosine-5'-monophosphate dehydrogenase
SM_b21442	SM_b21442	hypothetical protein	SM_b21442 hypothetical protein
SM_b21443	SM_b21443	hypothetical protein	SM_b21443 hypothetical protein
SM_b21444	SM_b21444	osmotic sensory protein	SM_b21444 osmotic sensory protein
SM_b21445	SM_b21445	DNA topoisomerase I protein	SM_b21445 DNA topoisomerase I protein
SM_b21446	SM_b21446	glycosyl hydrolase	SM_b21446 glycosyl hydrolase
SM_b21447	SM_b21447	1,4-alpha-glucan-branching protein	SM_b21447 1,4-alpha-glucan-branching protein
SM_b21448	SM_b21448	DNA polymerase related protein	SM_b21448 DNA polymerase related protein
SM_b21449	SM_b21449	glutathione S-transferase	SM_b21449 glutathione S-transferase
SM_b21450	SM_b21450	hypothetical protein	SM_b21450 hypothetical protein
SM_b21452	SM_b21452	hypothetical protein	SM_b21452 hypothetical protein
SM_b21454	SM_b21454	hypothetical protein	SM_b21454 hypothetical protein
SM_b21455	SM_b21455	hypothetical protein	SM_b21455 hypothetical protein
SM_b21456	SM_b21456	hypothetical protein	SM_b21456 hypothetical protein
SM_b21458	SM_b21458	sugar uptake ABC transporter permease	SM_b21458 sugar uptake ABC transporter permease
SM_b21459	SM_b21459	sugar uptake ABC transporter permease	SM_b21459 sugar uptake ABC transporter permease
SM_b21460	SM_b21460	sugar uptake ABC transporter ATP-binding protein	SM_b21460 sugar uptake ABC transporter ATP-binding protein
SM_b21461	SM_b21461	sugar uptake ABC transporter substrate-binding protein precursor	SM_b21461 sugar uptake ABC transporter substrate-binding protein precursor
SM_b21462	SM_b21462	sugar kinase	SM_b21462 sugar kinase
SM_b21463	SM_b21463	glycosyl hydrolase, 6-phospho-beta-glucosidase	SM_b21463 glycosyl hydrolase, 6-phospho-beta-glucosidase
SM_b21464	SM_b21464	GntR family transcriptional regulator	SM_b21464 GntR family transcriptional regulator
SM_b21465	SM_b21465	HlyD family protein secretion protein	SM_b21465 HlyD family protein secretion protein
SM_b21466	SM_b21466	ABC transporter ATP-binding protein	SM_b21466 ABC transporter ATP-binding protein
SM_b21467	SM_b21467	hypothetical protein	SM_b21467 hypothetical protein
SM_b21468	SM_b21468	hypothetical protein	SM_b21468 hypothetical protein
SM_b21469	SM_b21469	hypothetical protein	SM_b21469 hypothetical protein
SM_b21470	SM_b21470	hypothetical protein	SM_b21470 hypothetical protein
SM_b21471	SM_b21471	hypothetical protein	SM_b21471 hypothetical protein
SM_b21472	SM_b21472	hypothetical protein	SM_b21472 hypothetical protein
SM_b21473	SM_b21473	hypothetical protein	SM_b21473 hypothetical protein
SM_b21474	SM_b21474	3-ketoacyl-ACP reductase	SM_b21474 3-ketoacyl-ACP reductase
SM_b21475	SM_b21475	hypothetical protein	SM_b21475 hypothetical protein
SM_b21476	SM_b21476	hypothetical protein	SM_b21476 hypothetical protein
SM_b21478	SM_b21478	hypothetical protein	SM_b21478 hypothetical protein
SM_b21479	SM_b21479	hypothetical protein	SM_b21479 hypothetical protein
SM_b21480	SM_b21480	hypothetical protein	SM_b21480 hypothetical protein
SM_b21481	SM_b21481	hypothetical protein	SM_b21481 hypothetical protein
SM_b21482	SM_b21482	hypothetical protein	SM_b21482 hypothetical protein
SM_b21483	SM_b21483	hypothetical protein	SM_b21483 hypothetical protein
SM_b21484	SM_b21484	RNA polymerase sigma-E factor (sigma-24) protein	SM_b21484 RNA polymerase sigma-E factor (sigma-24) protein
SM_b21485	SM_b21485	hypothetical protein	SM_b21485 hypothetical protein
SM_b21486	SM_b21486	metabolite transport protein	SM_b21486 metabolite transport protein
SM_b21487	SM_b21487	cytochrome o ubiquinol oxidase subunit II	SM_b21487 cytochrome o ubiquinol oxidase subunit II
SM_b21488	SM_b21488	cytochrome o ubiquinol oxidase subunit I	SM_b21488 cytochrome o ubiquinol oxidase subunit I
SM_b21489	SM_b21489	cytochrome O ubiquinol oxidase subunit III	SM_b21489 cytochrome O ubiquinol oxidase subunit III
SM_b21490	SM_b21490	hypothetical protein	SM_b21490 hypothetical protein
SM_b21491	SM_b21491	hypothetical protein	SM_b21491 hypothetical protein
SM_b21492	SM_b21492	hypothetical protein	SM_b21492 hypothetical protein
SM_b21493	SM_b21493	AsnC family transcriptional regulator	SM_b21493 AsnC family transcriptional regulator
SM_b21494	SM_b21494	ornithine cyclodeaminase	SM_b21494 ornithine cyclodeaminase
SM_b21495	SM_b21495	protease	SM_b21495 protease
SM_b21496	SM_b21496	protease	SM_b21496 protease
SM_b21497	SM_b21497	acriflavin resistance protein	SM_b21497 acriflavin resistance protein
SM_b21498	SM_b21498	acriflavin resistance protein	SM_b21498 acriflavin resistance protein
SM_b21499	SM_b21499	hypothetical protein	SM_b21499 hypothetical protein
SM_b21500	SM_b21500	glycosyltransferase	SM_b21500 glycosyltransferase
SM_b21501	SM_b21501	hypothetical protein	SM_b21501 hypothetical protein
SM_b21502	SM_b21502	glycosyltransferase	SM_b21502 glycosyltransferase
SM_b21503	SM_b21503	glycosyltransferase	SM_b21503 glycosyltransferase
SM_b21504	SM_b21504	hypothetical protein	SM_b21504 hypothetical protein
SM_b21505	SM_b21505	membrane protein, Wzy-like polysaccharide polymerase ExoQ	SM_b21505 membrane protein, Wzy-like polysaccharide polymerase ExoQ
SM_b21506	SM_b21506	cell surface polysaccharides export protein	SM_b21506 cell surface polysaccharides export protein
SM_b21507	SM_b21507	amino acid transporter, exporter protein	SM_b21507 amino acid transporter, exporter protein
SM_b21508	SM_b21508	dihydrodipicolinate synthetase	SM_b21508 dihydrodipicolinate synthetase
SM_b21509	SM_b21509	plasmid stability protein	SM_b21509 plasmid stability protein
SM_b21511	SM_b21511	plasmid stability protein	SM_b21511 plasmid stability protein
SM_b21512	SM_b21512	hypothetical protein	SM_b21512 hypothetical protein
SM_b21513	SM_b21513	cell-surface polysaccharide exporter protein PST family	SM_b21513 cell-surface polysaccharide exporter protein PST family
SM_b21514	SM_b21514	modification methylase	SM_b21514 modification methylase
SM_b21515	SM_b21515	hypothetical protein	SM_b21515 hypothetical protein
SM_b21516	SM_b21516	hypothetical protein	SM_b21516 hypothetical protein
SM_b21517	SM_b21517	hypothetical protein	SM_b21517 hypothetical protein
SM_b21518	SM_b21518	hypothetical protein	SM_b21518 hypothetical protein
SM_b21519	SM_b21519	two-component sensor histidine kinase	SM_b21519 two-component sensor histidine kinase
SM_b21520	SM_b21520	two-component response regulator protein	SM_b21520 two-component response regulator protein
SM_b21523	SM_b21523	cell division inhibitor protein	SM_b21523 cell division inhibitor protein
SM_b21524	SM_b21524	septum formation inhibitor	SM_b21524 septum formation inhibitor
SM_b21525	SM_b21525	transcriptional regulator	SM_b21525 transcriptional regulator
SM_b21526	SM_b21526	taurine uptake ABC transporter substrate-binding protein precursor	SM_b21526 taurine uptake ABC transporter substrate-binding protein precursor
SM_b21527	SM_b21527	taurin uptake ABC transporter ATP-binding protein	SM_b21527 taurin uptake ABC transporter ATP-binding protein
SM_b21528	SM_b21528	taurine uptake ABC transporter permease	SM_b21528 taurine uptake ABC transporter permease
SM_b21529	SM_b21529	taurine dehydrogenase	SM_b21529 taurine dehydrogenase
SM_b21530	SM_b21530	sulfoacetaldehyde acetyltransferase	SM_b21530 sulfoacetaldehyde acetyltransferase
SM_b21531	SM_b21531	hypothetical protein	SM_b21531 hypothetical protein
SM_b21532	SM_b21532	phosphate acetyltransferase	SM_b21532 phosphate acetyltransferase
SM_b21533	SM_b21533	GntR family transcriptional regulator	SM_b21533 GntR family transcriptional regulator
SM_b21534	SM_b21534	dehydrogenase	SM_b21534 dehydrogenase
SM_b21535	SM_b21535	LysR family transcriptional regulator	SM_b21535 LysR family transcriptional regulator
SM_b21536	SM_b21536	hypothetical protein	SM_b21536 hypothetical protein
SM_b21537	SM_b21537	2-aminoethylphosphonate--pyruvate transaminase	SM_b21537 2-aminoethylphosphonate--pyruvate transaminase
SM_b21538	SM_b21538	phosphonoacetate hydrolase	SM_b21538 phosphonoacetate hydrolase
SM_b21539	SM_b21539	aldehyde dehydrogenase	SM_b21539 aldehyde dehydrogenase
SM_b21540	SM_b21540	iron uptake ABC transporter substrate-binding protein precursor	SM_b21540 iron uptake ABC transporter substrate-binding protein precursor
SM_b21541	SM_b21541	iron ABC transporter ATP-binding protein	SM_b21541 iron ABC transporter ATP-binding protein
SM_b21542	SM_b21542	iron uptake ABC transporter permease	SM_b21542 iron uptake ABC transporter permease
SM_b21543	SM_b21543	outer membrane secretion protein	SM_b21543 outer membrane secretion protein
SM_b21544	SM_b21544	hypothetical protein	SM_b21544 hypothetical protein
SM_b21545	SM_b21545	two-component response regulator protein	SM_b21545 two-component response regulator protein
SM_b21546	SM_b21546	two-component sensor histidine kinase	SM_b21546 two-component sensor histidine kinase
SM_b21547	SM_b21547	hypothetical protein	SM_b21547 hypothetical protein
SM_b21548	SM_b21548	hypothetical protein	SM_b21548 hypothetical protein
SM_b21549	SM_b21549	sulfurtransferase	SM_b21549 sulfurtransferase
SM_b21550	SM_b21550	hypothetical protein	SM_b21550 hypothetical protein
SM_b21552	SM_b21552	aminoglycoside 6'-N-acetyltransferase, amikacin resistance protein	SM_b21552 aminoglycoside 6'-N-acetyltransferase, amikacin resistance protein
SM_b21554	SM_b21554	hypothetical protein	SM_b21554 hypothetical protein
SM_b21555	SM_b21555	potassium-efflux protein	SM_b21555 potassium-efflux protein
SM_b21556	SM_b21556	aldehyde or xanthine dehydrogenase	SM_b21556 aldehyde or xanthine dehydrogenase
SM_b21557	SM_b21557	aldehyde or xanthine dehydrogenase, molybdopterin binding subunit protein	SM_b21557 aldehyde or xanthine dehydrogenase, molybdopterin binding subunit protein
SM_b21558	SM_b21558	aldehyde or xanthine dehydrogenase, iron-sulfur subunit protein	SM_b21558 aldehyde or xanthine dehydrogenase, iron-sulfur subunit protein
SM_b21559	SM_b21559	AraC family transcriptional regulator	SM_b21559 AraC family transcriptional regulator
SM_b21560	SM_b21560	two component sensor histidine kinase	SM_b21560 two component sensor histidine kinase
SM_b21561	SM_b21561	two component response regulator protein	SM_b21561 two component response regulator protein
SM_b21562	SM_b21562	hypothetical protein	SM_b21562 hypothetical protein
SM_b21564	SM_b21564	hypothetical protein	SM_b21564 hypothetical protein
SM_b21565	SM_b21565	hypothetical protein	SM_b21565 hypothetical protein
SM_b21566	SM_b21566	molecular chaperone GroEL	SM_b21566 molecular chaperone GroEL
SM_b21568	SM_b21568	hypothetical protein	SM_b21568 hypothetical protein
SM_b21569	SM_b21569	transcriptional regulator	SM_b21569 transcriptional regulator
SM_b21570	SM_b21570	NADH-dependent oxidase	SM_b21570 NADH-dependent oxidase
SM_b21571	SM_b21571	TetR family transcriptional regulator	SM_b21571 TetR family transcriptional regulator
SM_b21572	SM_b21572	amino acid uptake ABC transporter substrate-binding protein precursor	SM_b21572 amino acid uptake ABC transporter substrate-binding protein precursor
SM_b21573	SM_b21573	hypothetical protein	SM_b21573 hypothetical protein
SM_b21574	SM_b21574	sensor histidine kinase domain-containing protein	SM_b21574 sensor histidine kinase domain-containing protein
SM_b21575	SM_b21575	transporter	SM_b21575 transporter
SM_b21576	SM_b21576	ArsR family transcriptional regulator	SM_b21576 ArsR family transcriptional regulator
SM_b21577	SM_b21577	hypothetical protein	SM_b21577 hypothetical protein
SM_b21578	SM_b21578	copper-transporting P-type ATPase	SM_b21578 copper-transporting P-type ATPase
SM_b21579	SM_b21579	MerR family transcriptional regulator	SM_b21579 MerR family transcriptional regulator
SM_b21580	SM_b21580	hypothetical protein	SM_b21580 hypothetical protein
SM_b21581	SM_b21581	glycosyltransferase	SM_b21581 glycosyltransferase
SM_b21582	SM_b21582	exoD-like membrane protein	SM_b21582 exoD-like membrane protein
SM_b21583	SM_b21583	hypothetical protein	SM_b21583 hypothetical protein
SM_b21584	SM_b21584	hypothetical protein	SM_b21584 hypothetical protein
SM_b21585	SM_b21585	hypothetical protein	SM_b21585 hypothetical protein
SM_b21586	SM_b21586	glutathione synthetase	SM_b21586 glutathione synthetase
SM_b21587	SM_b21587	sugar uptake ABC transporter substrate-binding protein precursor	SM_b21587 sugar uptake ABC transporter substrate-binding protein precursor
SM_b21588	SM_b21588	sugar uptake ABC transporter ATP-binding protein	SM_b21588 sugar uptake ABC transporter ATP-binding protein
SM_b21589	SM_b21589	sugar uptake ABC transporter permease	SM_b21589 sugar uptake ABC transporter permease
SM_b21590	SM_b21590	inner membrane ABC transporter permease YjfF	SM_b21590 inner membrane ABC transporter permease YjfF
SM_b21591	SM_b21591	GntR family transcriptional regulator	SM_b21591 GntR family transcriptional regulator
SM_b21592	SM_b21592	sugar uptake ABC transporter ATP-binding protein	SM_b21592 sugar uptake ABC transporter ATP-binding protein
SM_b21593	SM_b21593	sugar uptake ABC transporter permease	SM_b21593 sugar uptake ABC transporter permease
SM_b21594	SM_b21594	sugar uptake ABC transporter permease	SM_b21594 sugar uptake ABC transporter permease
SM_b21595	SM_b21595	sugar uptake ABC transporter substrate-binding protein precursor	SM_b21595 sugar uptake ABC transporter substrate-binding protein precursor
SM_b21596	SM_b21596	hypothetical protein	SM_b21596 hypothetical protein
SM_b21597	SM_b21597	exported oxidoreductase	SM_b21597 exported oxidoreductase
SM_b21598	SM_b21598	transcriptional regulator	SM_b21598 transcriptional regulator
SM_b21599	SM_b21599	hypothetical protein	SM_b21599 hypothetical protein
SM_b21600	SM_b21600	beta-lactamase	SM_b21600 beta-lactamase
SM_b21601	SM_b21601	ArsR family transcriptional regulator	SM_b21601 ArsR family transcriptional regulator
SM_b21602	SM_b21602	sugar uptake ABC transporter permease	SM_b21602 sugar uptake ABC transporter permease
SM_b21603	SM_b21603	sugar uptake ABC transporter permease	SM_b21603 sugar uptake ABC transporter permease
SM_b21604	SM_b21604	sugar uptake ABC transporter substrate-binding protein precursor	SM_b21604 sugar uptake ABC transporter substrate-binding protein precursor
SM_b21605	SM_b21605	sugar uptake ABC transporter ATP-binding protein	SM_b21605 sugar uptake ABC transporter ATP-binding protein
SM_b21630	SM_b21630	hypothetical protein	SM_b21630 hypothetical protein
SM_b21631	SM_b21631	carboxynorspermidine decarboxylase	SM_b21631 carboxynorspermidine decarboxylase
SM_b21632	SM_b21632	3-hydroxyacyl-CoA dehydrogenase	SM_b21632 3-hydroxyacyl-CoA dehydrogenase
SM_b21633	SM_b21633	enoyl-CoA hydratase	SM_b21633 enoyl-CoA hydratase
SM_b21634	SM_b21634	acyl-CoA thioester hydrolase	SM_b21634 acyl-CoA thioester hydrolase
SM_b21635	SM_b21635	bifunctional aldehyde dehydrogenase/enoyl-CoA hydratase	SM_b21635 bifunctional aldehyde dehydrogenase/enoyl-CoA hydratase
SM_b21636	SM_b21636	ferredoxin reductase electron transfer protein	SM_b21636 ferredoxin reductase electron transfer protein
SM_b21638	SM_b21638	phenylacetic acid degradation protein	SM_b21638 phenylacetic acid degradation protein
SM_b21639	SM_b21639	phenylacetate-CoA oxygenase subunit PaaB	SM_b21639 phenylacetate-CoA oxygenase subunit PaaB
SM_b21640	SM_b21640	phenylacetate-CoA oxygenase subunit PaaA	SM_b21640 phenylacetate-CoA oxygenase subunit PaaA
SM_b21641	SM_b21641	ArsR family transcriptional regulator	SM_b21641 ArsR family transcriptional regulator
SM_b21642	SM_b21642	hypothetical protein	SM_b21642 hypothetical protein
SM_b21643	SM_b21643	alpha-galactosidase (melibiase) protein	SM_b21643 alpha-galactosidase (melibiase) protein
SM_b21644	SM_b21644	ABC transporter ATP-binding protein	SM_b21644 ABC transporter ATP-binding protein
SM_b21645	SM_b21645	ABC transporter permease	SM_b21645 ABC transporter permease
SM_b21646	SM_b21646	ABC transporter permease	SM_b21646 ABC transporter permease
SM_b21647	SM_b21647	alpha-galactoside ABC transporter substrate-binding protein precursor	SM_b21647 alpha-galactoside ABC transporter substrate-binding protein precursor
SM_b21648	SM_b21648	alpha-galactosidase (melibiase) protein	SM_b21648 alpha-galactosidase (melibiase) protein
SM_b21649	SM_b21649	AraC family transcriptional regulator	SM_b21649 AraC family transcriptional regulator
SM_b21650	SM_b21650	LacI family transcriptional regulator	SM_b21650 LacI family transcriptional regulator
SM_b21651	SM_b21651	plasmid stability protein	SM_b21651 plasmid stability protein
SM_b21652	SM_b21652	lactose ABC transporter substrate-binding protein	SM_b21652 lactose ABC transporter substrate-binding protein
SM_b21653	SM_b21653	lactose ABC transporter permease	SM_b21653 lactose ABC transporter permease
SM_b21654	SM_b21654	lactose ABC transporter permease	SM_b21654 lactose ABC transporter permease
SM_b21655	SM_b21655	beta-galactosidase	SM_b21655 beta-galactosidase
SM_b21662	SM_b21662	hypothetical protein	SM_b21662 hypothetical protein
SM_b21663	SM_b21663	hypothetical protein	SM_b21663 hypothetical protein
SM_b21664	SM_b21664	hypothetical protein	SM_b21664 hypothetical protein
SM_b21665	SM_b21665	hypothetical protein	SM_b21665 hypothetical protein
SM_b21667	SM_b21667	hypothetical protein	SM_b21667 hypothetical protein
SM_b21668	SM_b21668	hypothetical protein	SM_b21668 hypothetical protein
SM_b21669	SM_b21669	hypothetical protein	SM_b21669 hypothetical protein
SM_b21670	SM_b21670	hypothetical protein	SM_b21670 hypothetical protein
SM_b21671	SM_b21671	hypothetical protein	SM_b21671 hypothetical protein
SM_b21672	SM_b21672	hypothetical protein	SM_b21672 hypothetical protein
SM_b21673	SM_b21673	hypothetical protein	SM_b21673 hypothetical protein
SM_b21674	SM_b21674	hypothetical protein	SM_b21674 hypothetical protein
SM_b21676	SM_b21676	hypothetical protein	SM_b21676 hypothetical protein
SM_b21677	SM_b21677	signal peptide	SM_b21677 signal peptide
SM_b21678	SM_b21678	hypothetical protein	SM_b21678 hypothetical protein
SM_b21679	SM_b21679	hypothetical protein	SM_b21679 hypothetical protein
SM_b21680	SM_b21680	hypothetical protein	SM_b21680 hypothetical protein
SM_b21681	SM_b21681	hypothetical protein	SM_b21681 hypothetical protein
SM_b21682	SM_b21682	hypothetical protein	SM_b21682 hypothetical protein
SM_b21683	SM_b21683	hypothetical protein	SM_b21683 hypothetical protein
SM_b21684	SM_b21684	hypothetical protein	SM_b21684 hypothetical protein
SM_b21685	SM_b21685	hypothetical protein	SM_b21685 hypothetical protein
SM_b21686	SM_b21686	hypothetical protein	SM_b21686 hypothetical protein
SM_b21687	SM_b21687	hypothetical protein	SM_b21687 hypothetical protein
SM_b21689	SM_b21689	hypothetical protein	SM_b21689 hypothetical protein
SM_b21691	SM_b21691	nitrilotriacetate monooxygenase subunit A	SM_b21691 nitrilotriacetate monooxygenase subunit A
SM_b21695	SM_b21695	hypothetical protein	SM_b21695 hypothetical protein
SM_b21696	SM_b21696	hypothetical protein	SM_b21696 hypothetical protein
SM_b21697	SM_b21697	hypothetical protein	SM_b21697 hypothetical protein
SM_b21698	SM_b21698	hypothetical protein	SM_b21698 hypothetical protein
SM_b21706	SM_b21706	LacI family transcriptional regulator	SM_b21706 LacI family transcriptional regulator
SM_b21707	SM_b21707	branched-chain amino acid ABC transporter ATP-binding protein	SM_b21707 branched-chain amino acid ABC transporter ATP-binding protein
SM_b22001	SM_b22001	hypothetical protein	SM_b22001 hypothetical protein
SM_b22002	SM_b22002	epoxide hydrolase	SM_b22002 epoxide hydrolase
SM_b22003	SM_b22003	hypothetical protein	SM_b22003 hypothetical protein
SM_b22004	SM_b22004	plasmid stabilization system protein	SM_b22004 plasmid stabilization system protein
SM_b22005	SM_b22005	hypothetical protein	SM_b22005 hypothetical protein
SM_b22012	SM_b22012	hypothetical protein	SM_b22012 hypothetical protein
SM_b22015	SM_b22015	LysR family transcriptional regulator	SM_b22015 LysR family transcriptional regulator
SM_b22020	SM_b22020	hypothetical protein	SM_b22020 hypothetical protein
SM_b22021	SM_b22021	hypothetical protein	SM_b22021 hypothetical protein
SM_b22023	SM_b22023	molecular chaperone GroES	SM_b22023 molecular chaperone GroES
SMa0002	SMa0002	formate dehydrogenase subunit alpha	SMa0002 formate dehydrogenase subunit alpha
SMa0005	SMa0005	formate dehydrogenase susbunit beta	SMa0005 formate dehydrogenase susbunit beta
SMa0007	SMa0007	formate dehydrogenase subunit gamma	SMa0007 formate dehydrogenase subunit gamma
SMa0009	SMa0009	formate dehydrogenase subunit epsilon	SMa0009 formate dehydrogenase subunit epsilon
SMa0011	SMa0011	selenocysteine synthase	SMa0011 selenocysteine synthase
SMa0013	SMa0013	hypothetical protein	SMa0013 hypothetical protein
SMa0015	SMa0015	selenocysteine-specific elongation factor	SMa0015 selenocysteine-specific elongation factor
SMa0017	SMa0017	hypothetical protein	SMa0017 hypothetical protein
SMa0021	SMa0021	hypothetical protein	SMa0021 hypothetical protein
SMa0025	SMa0025	hypothetical protein	SMa0025 hypothetical protein
SMa0028	SMa0028	selenophosphate synthetase	SMa0028 selenophosphate synthetase
SMa0034	SMa0034	protease	SMa0034 protease
SMa0036	SMa0036	ABC transporter ATP-binding protein	SMa0036 ABC transporter ATP-binding protein
SMa0039	SMa0039	LysR family transcriptional regulator	SMa0039 LysR family transcriptional regulator
SMa0041	SMa0041	quinone oxidoreductase	SMa0041 quinone oxidoreductase
SMa0045	SMa0045	carbonic anhydrase	SMa0045 carbonic anhydrase
SMa0050	SMa0050	hypothetical protein	SMa0050 hypothetical protein
SMa0052	SMa0052	hypothetical protein	SMa0052 hypothetical protein
SMa0056	SMa0056	dehydratase/enolase	SMa0056 dehydratase/enolase
SMa0058	SMa0058	N-acylglucosamine 2-epimerase	SMa0058 N-acylglucosamine 2-epimerase
SMa0059	SMa0059	short-chain alcohol dehydrogenase	SMa0059 short-chain alcohol dehydrogenase
SMa0060	SMa0060	gluconolactonase	SMa0060 gluconolactonase
SMa0062	SMa0062	GntR family transcriptional regulator	SMa0062 GntR family transcriptional regulator
SMa0063	SMa0063	GntR family transcriptional regulator	SMa0063 GntR family transcriptional regulator
SMa0064	SMa0064	dehydratase/enolase	SMa0064 dehydratase/enolase
SMa0065	SMa0065	GntR family transcriptional regulator	SMa0065 GntR family transcriptional regulator
SMa0067	SMa0067	ABC transporter substrate-binding protein	SMa0067 ABC transporter substrate-binding protein
SMa0070	SMa0070	ABC transporter permease	SMa0070 ABC transporter permease
SMa0072	SMa0072	ABC transporter ATP-binding protein	SMa0072 ABC transporter ATP-binding protein
SMa0074	SMa0074	3-ketoacyl-ACP reductase	SMa0074 3-ketoacyl-ACP reductase
SMa0077	SMa0077	hypothetical protein	SMa0077 hypothetical protein
SMa0078	SMa0078	LacI family transcriptional regulator	SMa0078 LacI family transcriptional regulator
SMa0079	SMa0079	ABC transporter permease	SMa0079 ABC transporter permease
SMa0081	SMa0081	ABC transporter permease	SMa0081 ABC transporter permease
SMa0082	SMa0082	ABC transporter substrate-binding protein	SMa0082 ABC transporter substrate-binding protein
SMa0083	SMa0083	ABC transporter ATP-binding protein	SMa0083 ABC transporter ATP-binding protein
SMa0085	SMa0085	dehydrogenase	SMa0085 dehydrogenase
SMa0087	SMa0087	hypothetical protein	SMa0087 hypothetical protein
SMa0089	SMa0089	hypothetical protein	SMa0089 hypothetical protein
SMa0091	SMa0091	hypothetical protein	SMa0091 hypothetical protein
SMa0093	SMa0093	Branched-chain amino acid aminotransferase	SMa0093 Branched-chain amino acid aminotransferase
SMa0095	SMa0095	D-aminopeptidase	SMa0095 D-aminopeptidase
SMa0097	SMa0097	LysR family transcriptional regulator	SMa0097 LysR family transcriptional regulator
SMa0101	SMa0101	amidohydrolase	SMa0101 amidohydrolase
SMa0104	SMa0104	ABC transporter substrate-binding protein	SMa0104 ABC transporter substrate-binding protein
SMa0105	SMa0105	ABC transporter permease	SMa0105 ABC transporter permease
SMa0106	SMa0106	ABC transporter permease	SMa0106 ABC transporter permease
SMa0108	SMa0108	ABC transporter ATP-binding protein	SMa0108 ABC transporter ATP-binding protein
SMa0110	SMa0110	ABC transporter ATP-binding protein	SMa0110 ABC transporter ATP-binding protein
SMa0112	SMa0112	hypothetical protein	SMa0112 hypothetical protein
