Name,Sequence Name,Type,Minimum,Maximum,Direction,gene,locus_tag,old_locus_tag,protein_id,Length,product
RL_RS35070,NC_008378.1,gene,465098,465988,reverse,,RL_RS35070,pRL120432,WP_011649197.1,891,
WP_011649198.1,NC_008378.1,CDS,465992,466945,reverse,,RL_RS35075,pRL120433,WP_011649198.1,954,ABC transporter permease
RL_RS35075,NC_008378.1,gene,465992,466945,reverse,,RL_RS35075,pRL120433,WP_011649198.1,954,
WP_049778485.1,NC_008378.1,CDS,467024,468589,reverse,,RL_RS35080,pRL120434,WP_049778485.1,1566,ABC transporter substrate-binding protein
RL_RS35080,NC_008378.1,gene,467024,468589,reverse,,RL_RS35080,pRL120434,WP_049778485.1,1566,
CDS,NC_008378.1,CDS,469223,469422,forward,,RL_RS38800,,,200,transposase domain-containing protein
RL_RS38800,NC_008378.1,pseudogene,469223,469422,forward,,RL_RS38800,,,200,
WP_049778480.1,NC_008378.1,CDS,469474,469809,reverse,,RL_RS37020,,WP_049778480.1,336,hypothetical protein
RL_RS37020,NC_008378.1,gene,469474,469809,reverse,,RL_RS37020,,WP_049778480.1,336,
CDS,NC_008378.1,CDS,470618,470893,reverse,,RL_RS35095,,,276,IS110 family transposase
RL_RS35095,NC_008378.1,pseudogene,470618,470893,reverse,,RL_RS35095,,,276,
WP_011649201.1,NC_008378.1,CDS,470926,471948,forward,,RL_RS35100,pRL120437,WP_011649201.1,1023,IS110 family transposase
RL_RS35100,NC_008378.1,gene,470926,471948,forward,,RL_RS35100,pRL120437,WP_011649201.1,1023,
WP_011649203.1,NC_008378.1,CDS,472485,473642,reverse,,RL_RS35105,pRL120439,WP_011649203.1,1158,iron-containing alcohol dehydrogenase
RL_RS35105,NC_008378.1,gene,472485,473642,reverse,,RL_RS35105,pRL120439,WP_011649203.1,1158,
WP_011649204.1,NC_008378.1,CDS,473656,475407,reverse,,RL_RS35110,pRL120440,WP_011649204.1,1752,amidohydrolase
RL_RS35110,NC_008378.1,gene,473656,475407,reverse,,RL_RS35110,pRL120440,WP_011649204.1,1752,
WP_011649205.1,NC_008378.1,CDS,475436,476131,reverse,urtE,RL_RS35115,pRL120441,WP_011649205.1,696,urea ABC transporter ATP-binding subunit UrtE
urtE,NC_008378.1,gene,475436,476131,reverse,urtE,RL_RS35115,pRL120441,WP_011649205.1,696,
WP_011649206.1,NC_008378.1,CDS,476131,476880,reverse,urtD,RL_RS35120,pRL120442,WP_011649206.1,750,urea ABC transporter ATP-binding protein UrtD
urtD,NC_008378.1,gene,476131,476880,reverse,urtD,RL_RS35120,pRL120442,WP_011649206.1,750,
WP_011649207.1,NC_008378.1,CDS,476882,478021,reverse,urtC,RL_RS35125,pRL120443,WP_011649207.1,1140,urea ABC transporter permease subunit UrtC
urtC,NC_008378.1,gene,476882,478021,reverse,urtC,RL_RS35125,pRL120443,WP_011649207.1,1140,
WP_011649208.1,NC_008378.1,CDS,478023,478916,reverse,urtB,RL_RS35130,pRL120444,WP_011649208.1,894,urea ABC transporter permease subunit UrtB
urtB,NC_008378.1,gene,478023,478916,reverse,urtB,RL_RS35130,pRL120444,WP_011649208.1,894,
WP_011649209.1,NC_008378.1,CDS,479067,480317,reverse,,RL_RS35135,pRL120445,WP_011649209.1,1251,transporter substrate-binding domain-containing protein
RL_RS35135,NC_008378.1,gene,479067,480317,reverse,,RL_RS35135,pRL120445,WP_011649209.1,1251,
WP_011649210.1,NC_008378.1,CDS,480567,481175,reverse,,RL_RS35140,pRL120446,WP_011649210.1,609,ANTAR domain-containing response regulator
RL_RS35140,NC_008378.1,gene,480567,481175,reverse,,RL_RS35140,pRL120446,WP_011649210.1,609,
WP_011649211.1,NC_008378.1,CDS,481188,482339,reverse,,RL_RS35145,pRL120447,WP_011649211.1,1152,transporter substrate-binding domain-containing protein
RL_RS35145,NC_008378.1,gene,481188,482339,reverse,,RL_RS35145,pRL120447,WP_011649211.1,1152,
CDS,NC_008378.1,CDS,482554,482706,forward,,RL_RS38810,,,153,type II toxin-antitoxin system RelE/ParE family toxin
RL_RS38810,NC_008378.1,pseudogene,482554,482706,forward,,RL_RS38810,,,153,
WP_041937048.1,NC_008378.1,CDS,482804,483637,reverse,,RL_RS35150,pRL120448,WP_041937048.1,834,AraC family transcriptional regulator
RL_RS35150,NC_008378.1,gene,482804,483637,reverse,,RL_RS35150,pRL120448,WP_041937048.1,834,
WP_244432413.1,NC_008378.1,CDS,483930,484835,forward,,RL_RS35155,pRL120449,WP_244432413.1,906,AraC family transcriptional regulator
RL_RS35155,NC_008378.1,gene,483930,484835,forward,,RL_RS35155,pRL120449,WP_244432413.1,906,
WP_011649214.1,NC_008378.1,CDS,484970,485806,reverse,,RL_RS35160,pRL120450,WP_011649214.1,837,alpha/beta hydrolase
RL_RS35160,NC_008378.1,gene,484970,485806,reverse,,RL_RS35160,pRL120450,WP_011649214.1,837,
WP_244432414.1,NC_008378.1,CDS,485847,486023,forward,,RL_RS40940,,WP_244432414.1,177,hypothetical protein
RL_RS40940,NC_008378.1,gene,485847,486023,forward,,RL_RS40940,,WP_244432414.1,177,
WP_011649215.1,NC_008378.1,CDS,486020,487615,reverse,,RL_RS35170,pRL120451,WP_011649215.1,1596,MFS transporter
RL_RS35170,NC_008378.1,gene,486020,487615,reverse,,RL_RS35170,pRL120451,WP_011649215.1,1596,
WP_041937050.1,NC_008378.1,CDS,487612,488055,reverse,,RL_RS35175,pRL120452,WP_041937050.1,444,DoxX family protein
RL_RS35175,NC_008378.1,gene,487612,488055,reverse,,RL_RS35175,pRL120452,WP_041937050.1,444,
WP_041937005.1,NC_008378.1,CDS,488239,490221,reverse,,RL_RS35180,pRL120453,WP_041937005.1,1983,amidohydrolase
RL_RS35180,NC_008378.1,gene,488239,490221,reverse,,RL_RS35180,pRL120453,WP_041937005.1,1983,
WP_011649218.1,NC_008378.1,CDS,490221,490511,reverse,,RL_RS35185,pRL120454,WP_011649218.1,291,XapX domain-containing protein
RL_RS35185,NC_008378.1,gene,490221,490511,reverse,,RL_RS35185,pRL120454,WP_011649218.1,291,
WP_011649219.1,NC_008378.1,CDS,490583,491272,reverse,,RL_RS35190,pRL120455,WP_011649219.1,690,hydrolase
RL_RS35190,NC_008378.1,gene,490583,491272,reverse,,RL_RS35190,pRL120455,WP_011649219.1,690,
WP_011649220.1,NC_008378.1,CDS,491368,492300,reverse,,RL_RS35195,pRL120456,WP_011649220.1,933,VOC family protein
RL_RS35195,NC_008378.1,gene,491368,492300,reverse,,RL_RS35195,pRL120456,WP_011649220.1,933,
WP_011649221.1,NC_008378.1,CDS,492421,493320,forward,,RL_RS35200,pRL120457,WP_011649221.1,900,LysR family transcriptional regulator
RL_RS35200,NC_008378.1,gene,492421,493320,forward,,RL_RS35200,pRL120457,WP_011649221.1,900,
WP_041937051.1,NC_008378.1,CDS,493557,493883,reverse,,RL_RS35205,pRL120458,WP_041937051.1,327,cupredoxin family copper-binding protein
RL_RS35205,NC_008378.1,gene,493557,493883,reverse,,RL_RS35205,pRL120458,WP_041937051.1,327,
WP_041937006.1,NC_008378.1,CDS,493892,494413,reverse,,RL_RS35210,pRL120459,WP_041937006.1,522,DUF4142 domain-containing protein
RL_RS35210,NC_008378.1,gene,493892,494413,reverse,,RL_RS35210,pRL120459,WP_041937006.1,522,
WP_011649224.1,NC_008378.1,CDS,494565,494912,reverse,,RL_RS35215,pRL120460,WP_011649224.1,348,DUF488 domain-containing protein
RL_RS35215,NC_008378.1,gene,494565,494912,reverse,,RL_RS35215,pRL120460,WP_011649224.1,348,
WP_011649225.1,NC_008378.1,CDS,495175,496314,forward,,RL_RS35220,pRL120461,WP_011649225.1,1140,polysaccharide export protein
RL_RS35220,NC_008378.1,gene,495175,496314,forward,,RL_RS35220,pRL120461,WP_011649225.1,1140,
WP_011649226.1,NC_008378.1,CDS,496311,497225,reverse,,RL_RS35225,pRL120462,WP_011649226.1,915,serine/threonine protein kinase
RL_RS35225,NC_008378.1,gene,496311,497225,reverse,,RL_RS35225,pRL120462,WP_011649226.1,915,
WP_011649227.1,NC_008378.1,CDS,497215,498588,reverse,tagF,RL_RS35230,pRL120463,WP_011649227.1,1374,type VI secretion system-associated protein TagF
tagF,NC_008378.1,gene,497215,498588,reverse,tagF,RL_RS35230,pRL120463,WP_011649227.1,1374,
WP_011649228.1,NC_008378.1,CDS,498599,502075,reverse,tssM,RL_RS35235,pRL120464,WP_011649228.1,3477,type VI secretion system membrane subunit TssM
tssM,NC_008378.1,gene,498599,502075,reverse,tssM,RL_RS35235,pRL120464,WP_011649228.1,3477,
WP_011649229.1,NC_008378.1,CDS,502072,503604,reverse,tssL,RL_RS35240,pRL120465,WP_011649229.1,1533,"type VI secretion system protein TssL, long form"
tssL,NC_008378.1,gene,502072,503604,reverse,tssL,RL_RS35240,pRL120465,WP_011649229.1,1533,
WP_011649230.1,NC_008378.1,CDS,503601,504941,reverse,tssK,RL_RS35245,pRL120466,WP_011649230.1,1341,type VI secretion system baseplate subunit TssK
tssK,NC_008378.1,gene,503601,504941,reverse,tssK,RL_RS35245,pRL120466,WP_011649230.1,1341,
WP_011649231.1,NC_008378.1,CDS,504931,506130,reverse,,RL_RS35250,pRL120467,WP_011649231.1,1200,FHA domain-containing protein
RL_RS35250,NC_008378.1,gene,504931,506130,reverse,,RL_RS35250,pRL120467,WP_011649231.1,1200,
WP_011649232.1,NC_008378.1,CDS,506142,507143,reverse,tssG,RL_RS35255,pRL120468,WP_011649232.1,1002,type VI secretion system baseplate subunit TssG
tssG,NC_008378.1,gene,506142,507143,reverse,tssG,RL_RS35255,pRL120468,WP_011649232.1,1002,
WP_011649233.1,NC_008378.1,CDS,507164,508945,reverse,tssF,RL_RS35260,pRL120469,WP_011649233.1,1782,type VI secretion system baseplate subunit TssF
tssF,NC_008378.1,gene,507164,508945,reverse,tssF,RL_RS35260,pRL120469,WP_011649233.1,1782,
WP_011649234.1,NC_008378.1,CDS,508938,509447,reverse,tssE,RL_RS35265,pRL120470,WP_011649234.1,510,type VI secretion system baseplate subunit TssE
tssE,NC_008378.1,gene,508938,509447,reverse,tssE,RL_RS35265,pRL120470,WP_011649234.1,510,
WP_011649235.1,NC_008378.1,CDS,509440,510270,reverse,,RL_RS35270,pRL120471,WP_011649235.1,831,nitrogen fixation virulence-island protein
RL_RS35270,NC_008378.1,gene,509440,510270,reverse,,RL_RS35270,pRL120471,WP_011649235.1,831,
WP_011649236.1,NC_008378.1,CDS,510267,511655,reverse,tssC,RL_RS35275,pRL120472,WP_011649236.1,1389,type VI secretion system contractile sheath large subunit
tssC,NC_008378.1,gene,510267,511655,reverse,tssC,RL_RS35275,pRL120472,WP_011649236.1,1389,
WP_011649237.1,NC_008378.1,CDS,511731,513212,reverse,tssC,RL_RS35280,pRL120473,WP_011649237.1,1482,type VI secretion system contractile sheath large subunit
tssC,NC_008378.1,gene,511731,513212,reverse,tssC,RL_RS35280,pRL120473,WP_011649237.1,1482,
WP_041937007.1,NC_008378.1,CDS,513343,513867,reverse,tssB,RL_RS35285,pRL120474,WP_041937007.1,525,type VI secretion system contractile sheath small subunit
tssB,NC_008378.1,gene,513343,513867,reverse,tssB,RL_RS35285,pRL120474,WP_041937007.1,525,
WP_244432415.1,NC_008378.1,CDS,513925,515025,reverse,tssA,RL_RS35290,pRL120475,WP_244432415.1,1101,type VI secretion system protein TssA
tssA,NC_008378.1,gene,513925,515025,reverse,tssA,RL_RS35290,pRL120475,WP_244432415.1,1101,
WP_244432416.1,NC_008378.1,CDS,514997,517561,forward,tssH,RL_RS35295,pRL120476,WP_244432416.1,2565,type VI secretion system ATPase TssH
tssH,NC_008378.1,gene,514997,517561,forward,tssH,RL_RS35295,pRL120476,WP_244432416.1,2565,
WP_003575677.1,NC_008378.1,CDS,517603,518079,forward,,RL_RS35300,pRL120477,WP_003575677.1,477,type VI secretion system tube protein Hcp
RL_RS35300,NC_008378.1,gene,517603,518079,forward,,RL_RS35300,pRL120477,WP_003575677.1,477,
WP_011649240.1,NC_008378.1,CDS,518229,519305,forward,,RL_RS35305,pRL120478,WP_011649240.1,1077,hypothetical protein
RL_RS35305,NC_008378.1,gene,518229,519305,forward,,RL_RS35305,pRL120478,WP_011649240.1,1077,
WP_122330936.1,NC_008378.1,CDS,519315,520244,forward,,RL_RS35310,pRL120479,WP_122330936.1,930,hypothetical protein
RL_RS35310,NC_008378.1,gene,519315,520244,forward,,RL_RS35310,pRL120479,WP_122330936.1,930,
WP_011649242.1,NC_008378.1,CDS,520276,522540,forward,vgrG,RL_RS35315,pRL120480,WP_011649242.1,2265,type VI secretion system tip protein VgrG
vgrG,NC_008378.1,gene,520276,522540,forward,vgrG,RL_RS35315,pRL120480,WP_011649242.1,2265,
WP_011649243.1,NC_008378.1,CDS,522554,523663,forward,,RL_RS35320,pRL120481,WP_011649243.1,1110,DUF2169 domain-containing protein
RL_RS35320,NC_008378.1,gene,522554,523663,forward,,RL_RS35320,pRL120481,WP_011649243.1,1110,
WP_011649244.1,NC_008378.1,CDS,523660,525162,forward,,RL_RS37080,pRL120482,WP_011649244.1,1503,DUF4150 domain-containing protein
RL_RS37080,NC_008378.1,gene,523660,525162,forward,,RL_RS37080,pRL120482,WP_011649244.1,1503,
WP_003550958.1,NC_008378.1,CDS,525162,526274,forward,,RL_RS35330,pRL120483,WP_003550958.1,1113,hypothetical protein
RL_RS35330,NC_008378.1,gene,525162,526274,forward,,RL_RS35330,pRL120483,WP_003550958.1,1113,
WP_244432417.1,NC_008378.1,CDS,526368,527630,forward,,RL_RS35335,pRL120484,WP_244432417.1,1263,hypothetical protein
RL_RS35335,NC_008378.1,gene,526368,527630,forward,,RL_RS35335,pRL120484,WP_244432417.1,1263,
WP_011649247.1,NC_008378.1,CDS,527666,528412,forward,,RL_RS35340,pRL120485,WP_011649247.1,747,hypothetical protein
RL_RS35340,NC_008378.1,gene,527666,528412,forward,,RL_RS35340,pRL120485,WP_011649247.1,747,
WP_011649248.1,NC_008378.1,CDS,528409,529587,forward,,RL_RS35345,pRL120486,WP_011649248.1,1179,hypothetical protein
RL_RS35345,NC_008378.1,gene,528409,529587,forward,,RL_RS35345,pRL120486,WP_011649248.1,1179,
WP_011649249.1,NC_008378.1,CDS,529643,531088,reverse,,RL_RS35350,pRL120487,WP_011649249.1,1446,aldehyde dehydrogenase
RL_RS35350,NC_008378.1,gene,529643,531088,reverse,,RL_RS35350,pRL120487,WP_011649249.1,1446,
WP_028744008.1,NC_008378.1,CDS,531112,531897,reverse,,RL_RS35355,pRL120488,WP_028744008.1,786,coniferyl-alcohol dehydrogenase
RL_RS35355,NC_008378.1,gene,531112,531897,reverse,,RL_RS35355,pRL120488,WP_028744008.1,786,
WP_011649251.1,NC_008378.1,CDS,531938,532975,reverse,,RL_RS35360,pRL120489,WP_011649251.1,1038,branched-chain amino acid ABC transporter permease
RL_RS35360,NC_008378.1,gene,531938,532975,reverse,,RL_RS35360,pRL120489,WP_011649251.1,1038,
WP_011649252.1,NC_008378.1,CDS,532972,533880,reverse,,RL_RS35365,pRL120490,WP_011649252.1,909,branched-chain amino acid ABC transporter permease
RL_RS35365,NC_008378.1,gene,532972,533880,reverse,,RL_RS35365,pRL120490,WP_011649252.1,909,
WP_011649253.1,NC_008378.1,CDS,533877,534605,reverse,,RL_RS35370,pRL120491,WP_011649253.1,729,ABC transporter ATP-binding protein
RL_RS35370,NC_008378.1,gene,533877,534605,reverse,,RL_RS35370,pRL120491,WP_011649253.1,729,
WP_011649254.1,NC_008378.1,CDS,534602,535357,reverse,,RL_RS35375,pRL120492,WP_011649254.1,756,ABC transporter ATP-binding protein
RL_RS35375,NC_008378.1,gene,534602,535357,reverse,,RL_RS35375,pRL120492,WP_011649254.1,756,
WP_011649255.1,NC_008378.1,CDS,535364,536683,reverse,,RL_RS35380,pRL120493,WP_011649255.1,1320,ABC transporter substrate-binding protein
RL_RS35380,NC_008378.1,gene,535364,536683,reverse,,RL_RS35380,pRL120493,WP_011649255.1,1320,
WP_011649256.1,NC_008378.1,CDS,536751,538214,reverse,,RL_RS35385,pRL120494,WP_011649256.1,1464,aldehyde dehydrogenase
RL_RS35385,NC_008378.1,gene,536751,538214,reverse,,RL_RS35385,pRL120494,WP_011649256.1,1464,
WP_011649257.1,NC_008378.1,CDS,538452,539351,forward,,RL_RS35390,pRL120495,WP_011649257.1,900,AraC family transcriptional regulator
RL_RS35390,NC_008378.1,gene,538452,539351,forward,,RL_RS35390,pRL120495,WP_011649257.1,900,
WP_028744015.1,NC_008378.1,CDS,539814,539996,reverse,,RL_RS35395,pRL120497,WP_028744015.1,183,hypothetical protein
RL_RS35395,NC_008378.1,gene,539814,539996,reverse,,RL_RS35395,pRL120497,WP_028744015.1,183,
WP_041937010.1,NC_008378.1,CDS,540031,541458,reverse,,RL_RS35400,pRL120498,WP_041937010.1,1428,TRAP transporter large permease subunit
RL_RS35400,NC_008378.1,gene,540031,541458,reverse,,RL_RS35400,pRL120498,WP_041937010.1,1428,
WP_011649261.1,NC_008378.1,CDS,541455,542102,reverse,,RL_RS35405,pRL120499,WP_011649261.1,648,TRAP transporter small permease subunit
RL_RS35405,NC_008378.1,gene,541455,542102,reverse,,RL_RS35405,pRL120499,WP_011649261.1,648,
WP_011649262.1,NC_008378.1,CDS,542162,543292,reverse,,RL_RS35410,pRL120500,WP_011649262.1,1131,TRAP transporter substrate-binding protein
RL_RS35410,NC_008378.1,gene,542162,543292,reverse,,RL_RS35410,pRL120500,WP_011649262.1,1131,
WP_011649264.1,NC_008378.1,CDS,543845,545251,reverse,,RL_RS35415,pRL120502,WP_011649264.1,1407,adenylate/guanylate cyclase domain-containing protein
RL_RS35415,NC_008378.1,gene,543845,545251,reverse,,RL_RS35415,pRL120502,WP_011649264.1,1407,
WP_041937011.1,NC_008378.1,CDS,545375,545860,reverse,,RL_RS35420,pRL120503,WP_041937011.1,486,MarR family transcriptional regulator
RL_RS35420,NC_008378.1,gene,545375,545860,reverse,,RL_RS35420,pRL120503,WP_041937011.1,486,
WP_041937012.1,NC_008378.1,CDS,546063,547649,forward,,RL_RS35425,pRL120504,WP_041937012.1,1587,AMP-binding protein
RL_RS35425,NC_008378.1,gene,546063,547649,forward,,RL_RS35425,pRL120504,WP_041937012.1,1587,
WP_011649267.1,NC_008378.1,CDS,547692,548516,forward,,RL_RS35430,pRL120505,WP_011649267.1,825,p-hydroxycinnamoyl CoA hydratase/lyase
RL_RS35430,NC_008378.1,gene,547692,548516,forward,,RL_RS35430,pRL120505,WP_011649267.1,825,
WP_011649268.1,NC_008378.1,CDS,548573,549679,forward,,RL_RS35435,pRL120506,WP_011649268.1,1107,NAD(P)-dependent alcohol dehydrogenase
RL_RS35435,NC_008378.1,gene,548573,549679,forward,,RL_RS35435,pRL120506,WP_011649268.1,1107,
WP_011649269.1,NC_008378.1,CDS,549701,551140,forward,,RL_RS35440,pRL120507,WP_011649269.1,1440,coniferyl aldehyde dehydrogenase
RL_RS35440,NC_008378.1,gene,549701,551140,forward,,RL_RS35440,pRL120507,WP_011649269.1,1440,
WP_011649270.1,NC_008378.1,CDS,551340,553268,forward,,RL_RS35445,pRL120508,WP_011649270.1,1929,diguanylate cyclase
RL_RS35445,NC_008378.1,gene,551340,553268,forward,,RL_RS35445,pRL120508,WP_011649270.1,1929,
WP_011649271.1,NC_008378.1,CDS,553351,555645,forward,,RL_RS35450,pRL120509,WP_011649271.1,2295,FdhF/YdeP family oxidoreductase
RL_RS35450,NC_008378.1,gene,553351,555645,forward,,RL_RS35450,pRL120509,WP_011649271.1,2295,
WP_011649272.1,NC_008378.1,CDS,555642,555926,forward,,RL_RS35455,pRL120510,WP_011649272.1,285,hypothetical protein
RL_RS35455,NC_008378.1,gene,555642,555926,forward,,RL_RS35455,pRL120510,WP_011649272.1,285,
WP_011649273.1,NC_008378.1,CDS,555954,556955,reverse,,RL_RS35460,pRL120511,WP_011649273.1,1002,AraC family transcriptional regulator
RL_RS35460,NC_008378.1,gene,555954,556955,reverse,,RL_RS35460,pRL120511,WP_011649273.1,1002,
WP_011649275.1,NC_008378.1,CDS,557851,558855,reverse,,RL_RS35465,pRL120513,WP_011649275.1,1005,Ldh family oxidoreductase
RL_RS35465,NC_008378.1,gene,557851,558855,reverse,,RL_RS35465,pRL120513,WP_011649275.1,1005,
WP_011649276.1,NC_008378.1,CDS,559028,560107,reverse,,RL_RS35470,pRL120514,WP_011649276.1,1080,glycine betaine/L-proline ABC transporter ATP-binding protein
RL_RS35470,NC_008378.1,gene,559028,560107,reverse,,RL_RS35470,pRL120514,WP_011649276.1,1080,
WP_011649277.1,NC_008378.1,CDS,560100,560987,reverse,,RL_RS35475,pRL120515,WP_011649277.1,888,proline/glycine betaine ABC transporter permease
RL_RS35475,NC_008378.1,gene,560100,560987,reverse,,RL_RS35475,pRL120515,WP_011649277.1,888,
WP_011649278.1,NC_008378.1,CDS,561196,562197,reverse,,RL_RS35480,pRL120516,WP_011649278.1,1002,ABC transporter substrate-binding protein
RL_RS35480,NC_008378.1,gene,561196,562197,reverse,,RL_RS35480,pRL120516,WP_011649278.1,1002,
WP_011649279.1,NC_008378.1,CDS,562265,563059,reverse,,RL_RS35485,pRL120517,WP_011649279.1,795,NAD(P)-binding domain-containing protein
RL_RS35485,NC_008378.1,gene,562265,563059,reverse,,RL_RS35485,pRL120517,WP_011649279.1,795,
WP_011649280.1,NC_008378.1,CDS,563071,563700,reverse,,RL_RS35490,pRL120518,WP_011649280.1,630,TetR/AcrR family transcriptional regulator
RL_RS35490,NC_008378.1,gene,563071,563700,reverse,,RL_RS35490,pRL120518,WP_011649280.1,630,
WP_011649281.1,NC_008378.1,CDS,563849,565885,forward,,RL_RS35495,pRL120519,WP_011649281.1,2037,NADH:flavin oxidoreductase
RL_RS35495,NC_008378.1,gene,563849,565885,forward,,RL_RS35495,pRL120519,WP_011649281.1,2037,
WP_011649282.1,NC_008378.1,CDS,565934,566539,forward,,RL_RS35500,pRL120520,WP_011649282.1,606,dimethylsulfoniopropionate lyase
RL_RS35500,NC_008378.1,gene,565934,566539,forward,,RL_RS35500,pRL120520,WP_011649282.1,606,
WP_011649283.1,NC_008378.1,CDS,566558,567307,forward,,RL_RS35505,pRL120521,WP_011649283.1,750,electron transfer flavoprotein subunit beta/FixA family protein
RL_RS35505,NC_008378.1,gene,566558,567307,forward,,RL_RS35505,pRL120521,WP_011649283.1,750,
WP_011649284.1,NC_008378.1,CDS,567332,568273,forward,,RL_RS35510,pRL120522,WP_011649284.1,942,electron transfer flavoprotein subunit alpha/FixB family protein
RL_RS35510,NC_008378.1,gene,567332,568273,forward,,RL_RS35510,pRL120522,WP_011649284.1,942,
WP_028743879.1,NC_008378.1,CDS,568289,568984,forward,,RL_RS35515,pRL120523,WP_028743879.1,696,dimethylsulfonioproprionate lyase family protein
RL_RS35515,NC_008378.1,gene,568289,568984,forward,,RL_RS35515,pRL120523,WP_028743879.1,696,
WP_011649286.1,NC_008378.1,CDS,569136,570263,forward,,RL_RS35520,pRL120524,WP_011649286.1,1128,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
RL_RS35520,NC_008378.1,gene,569136,570263,forward,,RL_RS35520,pRL120524,WP_011649286.1,1128,
WP_011649287.1,NC_008378.1,CDS,570267,571103,forward,fghA,RL_RS35525,pRL120525,WP_011649287.1,837,S-formylglutathione hydrolase
fghA,NC_008378.1,gene,570267,571103,forward,fghA,RL_RS35525,pRL120525,WP_011649287.1,837,
WP_011649288.1,NC_008378.1,CDS,571158,571730,forward,gfa,RL_RS35530,pRL120526,WP_011649288.1,573,S-(hydroxymethyl)glutathione synthase
gfa,NC_008378.1,gene,571158,571730,forward,gfa,RL_RS35530,pRL120526,WP_011649288.1,573,
WP_011649289.1,NC_008378.1,CDS,572134,572850,forward,,RL_RS35535,pRL120527,WP_011649289.1,717,GntR family transcriptional regulator
RL_RS35535,NC_008378.1,gene,572134,572850,forward,,RL_RS35535,pRL120527,WP_011649289.1,717,
WP_011649290.1,NC_008378.1,CDS,572847,573758,forward,,RL_RS35540,pRL120528,WP_011649290.1,912,dihydrodipicolinate synthase family protein
RL_RS35540,NC_008378.1,gene,572847,573758,forward,,RL_RS35540,pRL120528,WP_011649290.1,912,
WP_011649291.1,NC_008378.1,CDS,573751,575268,forward,,RL_RS35545,pRL120529,WP_011649291.1,1518,aldehyde dehydrogenase
RL_RS35545,NC_008378.1,gene,573751,575268,forward,,RL_RS35545,pRL120529,WP_011649291.1,1518,
WP_011649292.1,NC_008378.1,CDS,575265,576611,forward,,RL_RS35550,pRL120530,WP_011649292.1,1347,FAD-binding oxidoreductase
RL_RS35550,NC_008378.1,gene,575265,576611,forward,,RL_RS35550,pRL120530,WP_011649292.1,1347,
WP_003562208.1,NC_008378.1,CDS,576689,577540,forward,,RL_RS35555,pRL120531,WP_003562208.1,852,glycine betaine ABC transporter substrate-binding protein
RL_RS35555,NC_008378.1,gene,576689,577540,forward,,RL_RS35555,pRL120531,WP_003562208.1,852,
WP_032993476.1,NC_008378.1,CDS,577587,578732,forward,,RL_RS35560,pRL120532,WP_032993476.1,1146,glycine betaine/L-proline ABC transporter ATP-binding protein
RL_RS35560,NC_008378.1,gene,577587,578732,forward,,RL_RS35560,pRL120532,WP_032993476.1,1146,
WP_011649294.1,NC_008378.1,CDS,578738,579586,forward,,RL_RS35565,pRL120533,WP_011649294.1,849,ABC transporter permease subunit
RL_RS35565,NC_008378.1,gene,578738,579586,forward,,RL_RS35565,pRL120533,WP_011649294.1,849,
WP_011649295.1,NC_008378.1,CDS,579583,580434,forward,,RL_RS35570,pRL120534,WP_011649295.1,852,ABC transporter permease subunit
RL_RS35570,NC_008378.1,gene,579583,580434,forward,,RL_RS35570,pRL120534,WP_011649295.1,852,
WP_011649296.1,NC_008378.1,CDS,580451,581449,forward,,RL_RS35575,pRL120535,WP_011649296.1,999,4-hydroxyproline epimerase
RL_RS35575,NC_008378.1,gene,580451,581449,forward,,RL_RS35575,pRL120535,WP_011649296.1,999,
WP_011649297.1,NC_008378.1,CDS,581505,582515,forward,,RL_RS35580,pRL120536,WP_011649297.1,1011,GlxA family transcriptional regulator
RL_RS35580,NC_008378.1,gene,581505,582515,forward,,RL_RS35580,pRL120536,WP_011649297.1,1011,
WP_011649298.1,NC_008378.1,CDS,582562,583632,reverse,,RL_RS35585,pRL120537,WP_011649298.1,1071,hybrid-cluster NAD(P)-dependent oxidoreductase
RL_RS35585,NC_008378.1,gene,582562,583632,reverse,,RL_RS35585,pRL120537,WP_011649298.1,1071,
WP_011649299.1,NC_008378.1,CDS,583643,584896,reverse,,RL_RS35590,pRL120538,WP_011649299.1,1254,aromatic ring-hydroxylating dioxygenase subunit alpha
RL_RS35590,NC_008378.1,gene,583643,584896,reverse,,RL_RS35590,pRL120538,WP_011649299.1,1254,
WP_032993479.1,NC_008378.1,CDS,585008,585895,forward,,RL_RS35595,pRL120539,WP_032993479.1,888,LysR substrate-binding domain-containing protein
RL_RS35595,NC_008378.1,gene,585008,585895,forward,,RL_RS35595,pRL120539,WP_032993479.1,888,
WP_011649301.1,NC_008378.1,CDS,585907,587559,reverse,,RL_RS35600,pRL120540,WP_011649301.1,1653,acyltransferase
RL_RS35600,NC_008378.1,gene,585907,587559,reverse,,RL_RS35600,pRL120540,WP_011649301.1,1653,
WP_011649302.1,NC_008378.1,CDS,587858,589855,reverse,,RL_RS35605,pRL120541,WP_011649302.1,1998,GGDEF domain-containing phosphodiesterase
RL_RS35605,NC_008378.1,gene,587858,589855,reverse,,RL_RS35605,pRL120541,WP_011649302.1,1998,
WP_011649303.1,NC_008378.1,CDS,590036,591073,forward,,RL_RS35610,pRL120542,WP_011649303.1,1038,class I SAM-dependent methyltransferase
