protein_id,locus_match,new_gene,gene,name,description
WP_011655114.1,SM_b21131,RL_RS31635,pRL110372,-,putative permease component of ABC transporter
WP_011655115.1,SM_b21132,RL_RS31640,pRL110373,-,putative permease component of ABC transporter
WP_011655116.1,SM_b21133,RL_RS31645,pRL110374,-,putative substrate-binding component of ABC transporter
WP_011655117.1,,RL_RS31650,pRL110375,-,putative outer membrane porin protein
WP_011655118.1,,RL_RS31655,pRL110376,-,putative regulator
WP_011655119.1,SMa2325,RL_RS31660,pRL110377,-,putative Kdp operon transcriptional regulatory protein
WP_011655120.1,SMa2327,RL_RS31665,pRL110378,-,putative two-component sensor histidine kinase potassium transport regulator protein
WP_011655121.1,SMa2329,RL_RS31670,pRL110379,-,putative potassium-transporting ATPase c chain
WP_011655122.1,SMa2331,RL_RS31675,pRL110380,-,putative potassium-transporting ATPase b chain
WP_011655123.1,SMa2333,RL_RS31680,pRL110381,-,putative potassium-transporting ATPase a chain
WP_011655124.1,SMc01992,RL_RS31695,pRL110382,-,putative D-xylulose reductase
WP_011655125.1,,RL_RS31700,pRL110383,-,putative transmembrane protein
WP_011655126.1,SM_b21143,RL_RS31705,pRL110384,-,putative heavy metal resistance protein
WP_003547781.1,,RL_RS31710,pRL110385,-,putative transmembrane protein
WP_011655127.1,SM_b21181,RL_RS31715,pRL110386,-,putative acyl-CoA dehydrogenase
WP_011655128.1,SM_b21347,RL_RS31720,pRL110387,-,putative pectin degradation protein
WP_011655129.1,SMc03122,RL_RS31725,pRL110388,-,putative LysR family transcription regulator
WP_011655130.1,,RL_RS31730,pRL110389,-,putative exopolysaccharide production protein
WP_011655131.1,,RL_RS31735,pRL110390,-,putative glycosyltransferase
WP_011655132.1,SM_b21250,RL_RS31740,pRL110391,-,putative phosphatidylinositol alpha-mannosyltransferase
WP_011655133.1,,RL_RS31745,pRL110392,-,putative transmembrane protein
WP_011655134.1,,RL_RS31750,pRL110393,-,hypothetical protein
WP_011655135.1,,RL_RS31755,pRL110394,-,putative transmembrane protein
WP_011655136.1,,RL_RS31760,pRL110395,-,putative succinoglycan biosynthesis protein
WP_041936918.1,,RL_RS31765,pRL110396,-,putative transmembrane protein
WP_011655138.1,,RL_RS31770,pRL110397,-,putative beta-mannosidase
,,,pRL110398,-,hypothetical protein
WP_011655140.1,,RL_RS38680,pRL110399,-,hypothetical protein
WP_011655141.1,SMc03121,RL_RS31780,pRL110400,-,putative substrate-binding component of ABC transporter
WP_011655142.1,SMc03120,RL_RS31785,pRL110401,-,putative ATP-binding component of ABC transporter protein
WP_028741797.1,SMc03119,RL_RS31790,pRL110402,-,putative ATP-binding component of ABC transporter
WP_003547797.1,SMc03118,RL_RS31795,pRL110403,-,putative permease component of ABC transporter
WP_003547798.1,SMc03117,RL_RS31800,pRL110404,-,putative permease component of ABC transporter
WP_028741798.1,SMc03116,RL_RS31805,pRL110405,-,putative alcohol dehydrogenase
WP_011655145.1,SM_b20751,RL_RS31810,pRL110406,-,putative 3-hydroxyisobutyrate dehydrogenase
WP_011655146.1,,RL_RS31815,pRL110407,-,hypothetical protein
WP_011655147.1,SMc03003,RL_RS31820,pRL110408,-,putative L-xylulose kinase involved in competition for nodulation
WP_003547822.1,SMc03002,RL_RS31825,pRL110409,-,putative protein involved in competition for nodulation
WP_011655148.1,SMc03001,RL_RS31830,pRL110410,-,putative permease component of ABC transporter involved in competition for nodulation
WP_011655149.1,SMc03000,RL_RS31835,pRL110411,-,putative substrate-binding component of ABC transporter involved in competition for nodulation
WP_041936920.1,SMc02325,RL_RS31840,pRL110412,-,putative ABC transporter component involved in competition for nodulation
WP_018448549.1,SMc02324,RL_RS31845,pRL110413,-,putative substrate binding protein involved in competition for nodulation
WP_011655152.1,SMc02323,RL_RS31850,pRL110414,-,putative DeoR family transcriptional regulator involved in competition for nodulation
WP_032992733.1,,RL_RS31880,pRL110419,-,hypothetical protein
WP_032992687.1,,RL_RS31885,pRL110420,-,putative IclR family transcriptional regulator
WP_011655158.1,SM_b20073,RL_RS31890,pRL110421,-,putative oxidoreductase/stress-related protein
WP_003547846.1,,RL_RS31895,pRL110422,-,hypothetical protein
WP_003547850.1,,RL_RS31900,pRL110423,-,putative TetR family transcriptional regulator
WP_003547852.1,,RL_RS31905,pRL110424,-,hypothetical protein
WP_011655161.1,SMc01703,RL_RS31910,pRL110425,-,hypothetical protein
WP_011655162.1,,RL_RS31915,pRL110426,-,hypothetical protein
WP_011655163.1,SMc02881,RL_RS31920,pRL110427,-,half-amidase
WP_011655164.1,,RL_RS31925,pRL110428,-,hypothetical protein
WP_011655165.1,SMc00127,RL_RS31930,pRL110429,-,putative choline-sulfatase
WP_011655166.1,,RL_RS31935,pRL110430,-,putative LysR family transcriptional regulator
WP_028741808.1,,RL_RS31940,pRL110431,-,putative transmembrane protein
WP_011655168.1,SMc02778,RL_RS31945,pRL110432,-,"putative 2,4-dihydroxydec-2-ene-1,10-dioic acid aldolase"
WP_011655169.1,,RL_RS31950,pRL110433,-,hypothetical protein
WP_011655170.1,,RL_RS31955,pRL110434,-,putative ATP binding component of ABC transporter
WP_011655171.1,,RL_RS31960,pRL110435,-,putative ATP-binding component of ABC transporter
WP_011655172.1,,RL_RS31965,pRL110436,-,putative permease component of ABC transporter
WP_011655173.1,,RL_RS31970,pRL110437,-,putative permease component of ABC transporter
WP_011655174.1,,RL_RS31975,pRL110438,-,putative substrate-binding component of ABC transporter
WP_011655175.1,,RL_RS31980,pRL110439,-,putative glycosyl transferase
WP_041936921.1,,RL_RS31985,pRL110440,-,putative acetyltransferase
WP_011655177.1,SM_b20962,RL_RS31990,pRL110441,-,putative phosphomethylpyrimidine kinase
WP_011655178.1,SM_b20618,RL_RS31995,pRL110442,-,putative thiamine-phosphate pyrophosphorylase
WP_011655179.1,,RL_RS32000,pRL110443,-,putative hydroxyethylthiazole kinase
WP_011655180.1,,RL_RS32005,pRL110444,-,hypothetical protein
WP_011655181.1,,RL_RS32010,pRL110445,-,putative peptidase/protease
WP_011655182.1,SMc04288,RL_RS32015,pRL110446,-,putative ATP-binding component of ABC transporter
WP_011655183.1,SMc04290,RL_RS32020,pRL110447,-,putative formamidase
WP_011655184.1,SMc04293,RL_RS32025,pRL110448,-,puative substrate-binding ABC transporter protein
WP_011655185.1,SMc04294,RL_RS32030,pRL110449,-,putative permease component of ABC transporter
WP_011655186.1,SMc04295,RL_RS32035,pRL110450,-,putative permease component of ABC transporter
WP_011655187.1,SMc04297,RL_RS32040,pRL110451,-,putative transcriptional regulator
WP_011655188.1,SMc04301,RL_RS32045,pRL110452,-,putative transcriptional regulator
WP_011655189.1,SM_b20675,RL_RS32050,pRL110453,-,hypothetical protein
WP_028741822.1,SMc03269,RL_RS32055,pRL110454,-,putative substrate-binding component of ABC transporter
WP_011655191.1,,RL_RS32060,pRL110455,-,putative substrate-binding component of ABC transporter
WP_011655192.1,SMc03272,RL_RS32065,pRL110456,-,putative transmembrane component of ABC transporter
WP_011655193.1,,RL_RS32070,pRL110457,-,hypothetical protein
WP_011655194.1,SMa0011,RL_RS32075,pRL110458,-,hypothetical protein
WP_011655195.1,SMc03268,RL_RS32080,pRL110459,-,putative ATP-binding component of ABC transporter
WP_028741824.1,,RL_RS32085,pRL110460,-,putative intracellular PHB depolymerase
WP_011655197.1,,RL_RS32090,pRL110461,-,putative glutathione-S-transferase protein
WP_011655198.1,SM_b20684,RL_RS32095,pRL110462,-,hypothetical protein
WP_011655199.1,SMc01437,RL_RS32100,pRL110463,-,putative acetyltransferase
WP_041936922.1,,RL_RS32105,pRL110464,-,hypothetical protein
WP_041936923.1,SMa1355,RL_RS32115,pRL110466,-,hypothetical protein
WP_011655203.1,SMa0288,RL_RS32120,pRL110467,-,putative transmembrane protein
WP_011655204.1,SMa0287,RL_RS32125,pRL110468,-,putative transmembrane protein
WP_003547964.1,,RL_RS32135,pRL110469,-,hypothetical protein
WP_041936926.1,SMa1262,RL_RS32140,pRL110470,-,hypothetical protein
WP_041936927.1,SMa1191,RL_RS32145,pRL110471,-,putative flavoprotein/ferredoxin
WP_041936928.1,,RL_RS32150,pRL110472,-,putative G/U mismatch-specific DNA glycosylase
WP_011655208.1,,RL_RS32155,pRL110473,-,putative transmembrane protein
WP_011655209.1,,RL_RS32160,pRL110474,-,putative transmembrane protein
WP_041936929.1,SMc02024,RL_RS32165,pRL110475,-,putative peptidase
WP_011655211.1,SMc02025,RL_RS32170,pRL110476,-,putative substrate-binding component of ABC transporter
WP_011655212.1,SMc02026,RL_RS32175,pRL110477,-,hypothetical protein
WP_011655213.1,SMc02027,RL_RS32180,pRL110478,-,putative ABC transporter component
WP_011655214.1,SMc02028,RL_RS32185,pRL110479,-,putative transmembrane component of ABC transporter
WP_011655215.1,SMc02029,RL_RS32190,pRL110480,-,putative permease component of ABC transporter
WP_011655216.1,SMc02030,RL_RS32195,pRL110481,-,putative LysR family transcriptional regulator
WP_011655217.1,,RL_RS32200,pRL110482,-,putative transcriptional activator protein
WP_011655218.1,SM_b21098,RL_RS32205,pRL110483,-,putative MmgE/PrpD family protein
WP_011655219.1,SMc00817,RL_RS32210,pRL110484,-,putative dienelactone hydrolase family protein
WP_011655220.1,SM_b21148,RL_RS32215,pRL110485,-,putative GFO/IDH/MocA family oxidoreductase protein
WP_011655221.1,SM_b21149,RL_RS32220,pRL110486,-,putative permease component of ABC transporter
WP_003553169.1,SM_b21150,RL_RS32225,pRL110487,-,putative permease component of ABC transporter
WP_011655222.1,SM_b21151,RL_RS32230,pRL110488,-,putative substrate-binding protein of ABC transporter
WP_011655223.1,SM_b21152,RL_RS32235,pRL110489,-,putative ATP-binding component of ABC transporter
WP_011655224.1,,RL_RS32240,pRL110490,-,putative transmembrane protein
WP_011655225.1,,RL_RS32245,pRL110491,-,putative choline dehydrogenase
WP_011655226.1,,RL_RS32250,pRL110492,-,hypothetical protein
WP_011655227.1,,RL_RS32255,pRL110493,-,hypothetical protein
WP_011655228.1,,RL_RS32260,pRL110494,-,putative transmembrane protein
WP_041936931.1,SM_b21677,RL_RS32265,pRL110495,-,putative transmembrane protein
WP_011655230.1,,RL_RS32270,pRL110496,-,putative FMN oxidoreductase
,,,pRL110497,-,hypothetical protein
WP_011655232.1,SM_b21134,RL_RS32280,pRL110498,-,hypothetical protein
WP_011655233.1,SM_b21155,RL_RS32285,pRL110499,-,hypothetical protein
WP_011655235.1,SM_b21158,RL_RS32300,pRL110502,-,putative HTH-type transcriptional regulator
WP_041936933.1,SM_b21159,RL_RS32305,pRL110503,-,putative dehydrogenase/oxidoreductase
WP_011655237.1,SM_b21162,RL_RS32310,pRL110504,-,putative transmembrane efflux transporter
WP_011655238.1,,RL_RS32315,pRL110505,-,putative transcriptional regulator
WP_011655239.1,,RL_RS32320,pRL110506,-,putative transmembrane protein
WP_011655240.1,SM_b20859,RL_RS32325,pRL110507,-,putative AraC family transcriptional regulator
WP_011655241.1,,RL_RS32330,pRL110508,-,putative zinc-binding oxidoreductase
WP_011655251.1,SMc03040,RL_RS32380,pRL110518,-,putative flagellin protein
WP_003548050.1,,RL_RS32385,pRL110519,-,putative multidrug resistance transporter
WP_041936936.1,SMa1447,RL_RS32390,pRL110520,-,putative transmembrane MFS family transporter protein
WP_049778478.1,,RL_RS32395,pRL110521,-,hypothetical protein
WP_028741862.1,,RL_RS32400,pRL110522,-,hypothetical protein
WP_011655255.1,,RL_RS32405,pRL110523,-,hypothetical protein
WP_011655256.1,,RL_RS38685,pRL110524,-,putative exonuclease
,,,pRL110525,-,hypothetical protein
WP_011655258.1,,RL_RS32415,pRL110526,-,hypothetical protein
WP_041936937.1,,RL_RS32420,pRL110527,-,hypothetical protein
WP_011655260.1,,RL_RS32425,pRL110528,-,putative GntR family transcriptional regulator
WP_032983410.1,SM_b21348,RL_RS32430,pRL110529,-,putative 2-deoxy-D-gluconate 3-dehydrogenase
WP_011655262.1,SMa0214,RL_RS32435,pRL110530,-,putative 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
,,,pRL110531,-,hypothetical protein
WP_003548073.1,SMc02051,RL_RS37130,pRL110532,-,hypothetical protein
WP_011655264.1,SMa0255,RL_RS32445,pRL110533,-,putative exonuclease/polymerase
WP_011655265.1,,RL_RS32450,pRL110534,-,putative two-component sensor kinase regulator
WP_011655266.1,SM_b21210,RL_RS32455,pRL110535,-,putative two-component response regulator
WP_011655267.1,,RL_RS32460,pRL110536,-,putative haloalkane dehalogenase
WP_028741871.1,,RL_RS32465,pRL110537,-,putative MarR family transcriptional regulator
WP_011655269.1,,RL_RS32470,pRL110538,-,putative amino oxidase
WP_011655271.1,SMc04147,RL_RS32480,pRL110540,-,putative permease protein
WP_011655272.1,SMc04148,RL_RS32485,pRL110541,-,putative glycine degradation aminomethyltransferase
WP_003548109.1,SMa0126,RL_RS32490,pRL110542,-,putative cold shock protein
WP_003548114.1,SMa0128,RL_RS32500,pRL110543,-,hypothetical protein
WP_003548116.1,SM_b21522,RL_RS32505,pRL110544,-,putative cell division topological specificity factor
WP_025397600.1,SM_b21523,RL_RS32510,pRL110545,-,putative septum site-determining protein MinD
WP_011655274.1,SM_b21524,RL_RS32515,pRL110546,-,septum site-determining protein MinC
WP_011655275.1,,RL_RS32520,pRL110547,-,hypothetical protein
WP_011655276.1,SMc04149,RL_RS32525,pRL110548,-,putative oxidoreductase protein
WP_011655277.1,SMc04150,RL_RS32530,pRL110549,-,hypothetical protein
WP_011655278.1,SMc04151,RL_RS32535,pRL110550,-,putative dioxygenase beta subunit
WP_011655279.1,SMc04152,RL_RS32540,pRL110551,-,hypothetical protein
WP_011655280.1,SMc04153,RL_RS32545,pRL110552,-,putative aminomethyltransferase/glycine cleavage protein
WP_003548134.1,,RL_RS32550,pRL110553,-,putative formyltetrahydrofolate deformylase
WP_011655281.1,SMc02613,RL_RS32555,pRL110554,-,glutamine synthetase III
WP_003548137.1,SMc02612,RL_RS32560,pRL110555,-,putative glutamate synthase [NADPH] large chain precursor
WP_003548139.1,SMc02611,RL_RS32565,pRL110556,-,putative glutamate synthase subunit
WP_011655283.1,SMc02610,RL_RS32570,pRL110557,-,putative glutamine amidotransferase protein
WP_028741877.1,SMc02620,RL_RS32575,pRL110558,-,putative transcriptional regulator
WP_011655285.1,SMc02609,RL_RS32580,pRL110559,-,putative AraC family transcriptional regulator
WP_011655286.1,SMc02608,RL_RS32585,pRL110560,-,putative sarcosine oxidase subunit
WP_011655287.1,SMc02607,RL_RS32590,pRL110561,-,putative sarcosine oxidase delta subunit
WP_011655288.1,SMc02606,RL_RS32595,pRL110562,-,putative sarcosine oxidase alpha subunit
WP_011655289.1,SMc02605,RL_RS32600,pRL110563,-,putative sarcosine oxidase gamma subunit
WP_041936939.1,,RL_RS32605,pRL110564,-,putative tight adherence protein
WP_003548168.1,,RL_RS32610,pRL110565,-,putative transmembrane protein
WP_011655292.1,,RL_RS32615,pRL110566,-,putative transmembrane pilus assembly protein
WP_011655293.1,,RL_RS32620,pRL110567,-,putative transmembrane protein
WP_011655294.1,,RL_RS32625,pRL110568,-,putative transmembrane protein
WP_003548177.1,,RL_RS32630,pRL110569,-,putative transmembrane protein
WP_011655296.1,,RL_RS32635,pRL110570,-,hypothetical protein
WP_003548181.1,,RL_RS32640,pRL110571,-,hypothetical protein
WP_011655297.1,,RL_RS32645,pRL110572,-,putative flp pilus assembly protein
WP_028741888.1,,RL_RS32650,pRL110573,-,putative transmembrane pilus component protein
WP_011655299.1,,RL_RS32655,pRL110574,-,putative transmembrane pilus component protein
WP_011655300.1,,RL_RS32660,pRL110575,-,putative transmembrane protein
WP_041936940.1,SMa0570,RL_RS32665,pRL110576,-,putative adenylate cyclase
WP_011655302.1,,RL_RS32675,pRL110577,-,putative LysR family transcriptional regulator
WP_011655303.1,,RL_RS32680,pRL110578,-,putative 4-oxalocrotonate tautomerase
WP_011655304.1,,RL_RS32685,pRL110579,-,putative transmembrane protein
WP_122330927.1,,RL_RS32710,pRL110585,-,hypothetical protein
WP_011655309.1,SM_b20550,RL_RS38715,pRL110586,-,hypothetical protein
WP_011655310.1,,RL_RS32715,pRL110587,-,putative transmembrane protein
WP_011655311.1,,RL_RS32720,pRL110588,-,putative exported serine protease inhibitor
WP_011655312.1,SMc03286,RL_RS32725,pRL110589,-,putative exported protease/peptidase
WP_011655313.1,,RL_RS32730,pRL110590,-,hypothetical protein
WP_011655314.1,,RL_RS32735,pRL110591,-,putative outer membrane protein
WP_041936972.1,,RL_RS32740,pRL110592,-,hypothetical protein
,,,pRL110593,-,hypothetical protein
WP_011655317.1,,RL_RS32750,pRL110594,-,hypothetical protein
WP_041936942.1,,RL_RS32755,pRL110595,-,hypothetical protein
WP_011655319.1,,RL_RS32760,pRL110596,-,putative transmembrane protein
WP_011655320.1,,RL_RS32770,pRL110597,-,putative exported peptidase
WP_011655321.1,SM_b21113,RL_RS32775,pRL110598,-,putative racemase
WP_026160307.1,SM_b21111,RL_RS32780,pRL110599,-,putative oxidoreductase
WP_011655323.1,SM_b21102,RL_RS32785,pRL110600,-,putative IclR family transcriptional regulator protein
WP_011655324.1,SM_b21101,RL_RS32790,pRL110601,-,hypothetical protein
WP_011655325.1,,RL_RS32795,pRL110602,-,putative HTH family transcriptional regulator
WP_011655326.1,,RL_RS32800,pRL110603,-,hypothetical protein
WP_011655327.1,,RL_RS32805,pRL110604,-,putative trifolitoxin related protein
WP_011655328.1,,RL_RS32810,pRL110605,-,hypothetical protein
WP_011655329.1,,RL_RS32815,pRL110606,-,putative trifolitoxin related protein
WP_011655330.1,,RL_RS32820,pRL110607,-,putative transposase family protein
WP_011655331.1,,RL_RS39795,pRL110608,-,hypothetical protein
WP_011655332.1,,RL_RS32825,pRL110609,-,putative cytosine deaminase
WP_041936945.1,,RL_RS32830,pRL110610,-,putative LysR family transcriptional regulator
WP_011655334.1,,RL_RS32835,pRL110611,-,putative flavonol synthase/dioxygenase
WP_011655335.1,,RL_RS32840,pRL110612,-,putative permease component of ABC transporter
WP_011655336.1,,RL_RS32845,pRL110613,-,putative ATP-binding component of ABC transporter
WP_011655337.1,,RL_RS32850,pRL110614,-,hypothetical protein
WP_173364461.1,SMc02598,RL_RS32860,pRL110615,-,putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
WP_011655340.1,SMc02599,RL_RS32865,pRL110616,-,putative L-aspartate oxidase
WP_011655341.1,SMc02601,RL_RS32870,pRL110617,-,quinolinate synthetase A
WP_011655342.1,SMc02565,RL_RS32875,pRL110618,-,hypothetical protein
WP_011655343.1,SM_b20821,RL_RS32880,pRL110619,-,putative pantothenate biosynthesis protein
WP_011655344.1,SM_b20820,RL_RS32885,pRL110620,-,putative pyridine-nucleotide disulphide oxidoreductase
WP_003548266.1,SM_b20819,RL_RS32890,pRL110621,-,putative rieske-type ferredoxin
WP_011655345.1,SM_b20818,RL_RS32895,pRL110622,-,putative transmembrane fatty acid desaturase
WP_011655346.1,SM_b20817,RL_RS32900,pRL110623,-,putative transcriptional regulator
WP_011655347.1,SM_b20711,RL_RS32905,pRL110624,-,hypothetical protein
,,,pRL11093A,-,-
,,,pRL11093B,-,-
WP_011648809.1,,RL_RS32985,pRL120008,-,putative permease component of ABC transporter
WP_011648810.1,,RL_RS32990,pRL120009,-,putative ribokinase
,,,pRL120010,-,hypothetical protein
WP_026160235.1,SM_b20416,RL_RS32995,pRL120011,-,putative substrate-binding periplasmic protein precursor
WP_011648813.1,SM_b20417,RL_RS33000,pRL120012,-,putative permease component of ABC transporter
WP_003562583.1,SM_b20418,RL_RS33005,pRL120013,-,putative permease component of ABC transporter
WP_011648815.1,,RL_RS33015,pRL120015,-,putative glycerophosphoryl diester phosphodiesterase
WP_011648816.1,,RL_RS33020,pRL120016,-,putative DeoR family transcriptional regulator
WP_011648817.1,,RL_RS33025,pRL120017,-,putative hydrolase
WP_011648818.1,,RL_RS33030,pRL120018,-,putative permease component of ABC transporter
WP_003550151.1,,RL_RS33035,pRL120019,-,putative permease component of ABC transporter
WP_003550152.1,,RL_RS33040,pRL120020,-,putative substrate binding protein
WP_011648820.1,SM_b21372,RL_RS33045,pRL120022,-,putative HTH-type transcriptional regulator
WP_011648821.1,,RL_RS33050,pRL120023,-,putative lipase/esterase
WP_011648822.1,,RL_RS33055,pRL120024,-,putative GFO/IDH/MocA family oxidoreductase
WP_003562561.1,,RL_RS33070,pRL120027,-,putative aldolase
WP_011648824.1,SM_b21462,RL_RS33075,pRL120028,-,putative Pfk family kinase
WP_041936975.1,,RL_RS33080,pRL120029,-,putative ATP-binding transporter
WP_011648826.1,SMc03812,RL_RS33085,pRL120030,-,putative GFO/IDH/MocA family oxidoreductase/dehydrogenase
WP_011648827.1,SMc03811,RL_RS33090,pRL120031,-,hypothetical protein
WP_011648828.1,SMc03810,RL_RS33095,pRL120032,-,hypothetical protein
WP_011648829.1,,RL_RS33100,pRL120033,-,putative D-allulose-6-phosphate 3-epimerase
WP_011648830.1,,RL_RS33105,pRL120034,-,putative glucokinase
WP_011648831.1,SM_b20325,RL_RS33110,pRL120035,-,putative substrate-binding component of ABC transporter
WP_011648832.1,SM_b20326,RL_RS33115,pRL120036,-,putative permease component of ABC transporter
WP_011648833.1,SM_b20327,RL_RS33120,pRL120037,-,putative permease component of ABC transporter
WP_011648834.1,SM_b20328,RL_RS33125,pRL120038,-,putative ABC transporter component
WP_011648835.1,,RL_RS33130,pRL120039,-,putative sugar uptake related protein
WP_011648836.1,,RL_RS33135,pRL120040,-,putative GFO/IDH/MocA sugar uptake related protein
WP_011648837.1,SMa5023,RL_RS33140,pRL120041,-,hypothetical protein
WP_011648838.1,SM_b20422,RL_RS33145,pRL120042,-,putative alcohol dehydrogenase
WP_041936976.1,SM_b20423,RL_RS33150,pRL120043,-,putative aminotransferase
WP_011648840.1,SM_b20424,RL_RS33155,pRL120044,-,succinate-semialdehyde dehydrogenase (NADP+)
WP_011648841.1,SM_b20425,RL_RS33160,pRL120045,-,putative AsnC family transcriptional regulatory protein
WP_011648842.1,SM_b20426,RL_RS33165,pRL120046,-,putative MocR-type GntR family transcriptional regulator
WP_011648843.1,SM_b20427,RL_RS33170,pRL120047,-,putative ATP-binding component of ABC transporter
WP_011648844.1,SM_b20428,RL_RS33175,pRL120048,-,putative substrate-binding component of ABC transporter
WP_003550191.1,SM_b20429,RL_RS33180,pRL120049,-,putative permease component of ABC transporter protein
WP_011648846.1,SM_b20430,RL_RS33185,pRL120050,-,putative permease component of ABC transporter
WP_011648847.1,SM_b20431,RL_RS33190,pRL120051,-,putative arylmalonate decarboxylase
WP_011648848.1,SM_b20432,RL_RS33195,pRL120052,-,putative threonine dehydratase
WP_011648849.1,SM_b20433,RL_RS33200,pRL120053,-,putative ornithine cyclodeaminase
WP_011648850.1,SM_b20434,RL_RS33205,pRL120054,-,hypothetical protein
WP_011648851.1,SM_b20435,RL_RS33210,pRL120055,-,putative AstE/AspA family protein
WP_041936978.1,,RL_RS33215,pRL120056,-,putative methylation accepting chemotaxis protein
WP_011648853.1,SM_b21651,RL_RS33225,pRL120057,-,putative plasmid stability protein
,,,pRL120058,-,hypothetical protein
WP_011648855.1,,RL_RS33235,pRL120059,-,hypothetical protein
WP_011648856.1,,RL_RS33240,pRL120060,-,hypothetical protein
WP_011648857.1,,RL_RS33245,pRL120061,-,hypothetical protein
WP_011648858.1,,RL_RS33250,pRL120062,-,putative flagellar hook associated protein
WP_011648859.1,,RL_RS33255,pRL120063,-,putative flagellar hook-associated protein
WP_011648860.1,,RL_RS33260,pRL120064,-,putative flagellar hook protein flgE
WP_011648861.1,,RL_RS33265,pRL120065,-,putative symbiosis-related calsymin
WP_003550211.1,,RL_RS33270,pRL120066,-,putative TetR family transcriptional regulator
WP_011648862.1,SMc00986,RL_RS33275,pRL120067,-,putative flagella associated protein
WP_028742558.1,,RL_RS33280,pRL120068,-,putative methyl-accepting chemotaxis protein
WP_011648864.1,SMc01669,RL_RS33285,pRL120069,-,putative 3-hydroxybutyryl-CoA dehydratase
WP_028742556.1,SM_b21136,RL_RS33300,pRL120072,-,putative permease component of ABC transporter
WP_011648868.1,SM_b21137,RL_RS33305,pRL120073,-,putative permease component of ABC transporter
WP_011648869.1,SM_b21138,RL_RS33310,pRL120074,-,putative ATP-binding component of ABC transporter
WP_011648870.1,,RL_RS33315,pRL120075,-,putative plasmid stability protein StbC
WP_011648871.1,,RL_RS33320,pRL120076,-,putative plasmid stability protein StbB
WP_011648872.1,,RL_RS33325,pRL120077,-,putative GntR family transcriptional regulator
WP_011648873.1,SMa0082,RL_RS33330,pRL120078,-,putative substrate-binding component of ABC transporter
WP_011648874.1,,RL_RS33335,pRL120079,-,putative permease component of ABC transporter
WP_011648875.1,,RL_RS33340,pRL120080,-,putative permease component of ABC transporter
WP_011648876.1,SMa0508,RL_RS33345,pRL120081,-,putative ATP-binding component of ABC transporter
WP_011648877.1,SM_b20063,RL_RS33350,pRL120082,-,putative plasmid stabilization element
WP_011648878.1,,RL_RS33355,pRL120083,-,hypothetical protein
WP_011648879.1,SM_b20695,RL_RS33360,pRL120084,-,hypothetical protein
WP_011648880.1,SM_b20696,RL_RS33365,pRL120085,-,hypothetical protein
WP_011648881.1,,RL_RS33370,pRL120086,-,putative pspA family transcriptional regulator-associated protein
WP_032992943.1,,RL_RS33375,pRL120087,-,hypothetical protein
WP_011648887.1,,RL_RS33400,pRL120092,-,putative glutathionylspermidine synthetase
WP_011648888.1,,RL_RS33405,pRL120093,-,putative dioxygenase
WP_011648891.1,,RL_RS33420,pRL120096,-,putative permease component of ABC transporter
WP_011648892.1,,RL_RS33425,pRL120097,-,putative ATP-binding component of ABC transporter
WP_028742544.1,,RL_RS33430,pRL120098,-,putative ATP-binding ABC transporter component
WP_011648894.1,,RL_RS33435,pRL120099,-,putative substrate-binding component of ABC transporter
WP_011648895.1,,RL_RS33440,pRL120100,-,putative maleylacetate reductase
WP_011648896.1,,RL_RS33445,pRL120101,-,putative dioxygenase
WP_011648897.1,,RL_RS33450,pRL120102,-,putative LysR family transcriptional regulator
,,,pRL120103,-,hypothetical protein
WP_011648899.1,,RL_RS33460,pRL120104,-,putative LysR family transcriptional regulator
WP_011648900.1,,RL_RS33465,pRL120105,-,putative UDP-glucose 4-epimerase
WP_011648901.1,,RL_RS33470,pRL120106,-,putative short-chain aldo-keto oxidoreductase
WP_011648902.1,SMc00101,RL_RS33475,pRL120107,-,putative aldo-keto reductase/oxidase
WP_011655270.1,,RL_RS33480,pRL120108,-,putative MocA family oxido-reductase/dehydratase
,,,pRL120109,-,-
WP_086935643.1,,RL_RS38760,pRL120110,-,-
WP_003550942.1,,RL_RS33490,pRL120111,-,putative exported binding protein transporter component
WP_011648904.1,,RL_RS33495,pRL120112,-,putative transmembrane component of transporter
WP_011648905.1,,RL_RS33500,pRL120113,-,putative transmembrane transporter component
WP_011648906.1,,RL_RS33505,pRL120114,-,hypothetical protein
WP_011648907.1,,RL_RS33510,pRL120115,-,putative transcriptional regulator
WP_011648908.1,,RL_RS33515,pRL120116,-,putative ATP-binding protein transporter protein
WP_011648909.1,,RL_RS33520,pRL120117,-,hypothetical protein
WP_011648910.1,,RL_RS33525,pRL120118,-,putative aldo-keto reductase/oxidoreductase
WP_011648911.1,SMc01157,RL_RS33530,pRL120119,-,putative short-chain dehydrogenase
WP_011648912.1,SMa0335,RL_RS33535,pRL120120,-,putative short-chain dehydrogenase
WP_011648913.1,,RL_RS33540,pRL120121,-,putative dihydroorotase
WP_011648914.1,,RL_RS33545,pRL120122,-,putative thiamine pyrophosphate requiring enzyme
WP_028742532.1,,RL_RS33550,pRL120123,-,putative polysaccharide deacetylase
WP_041936979.1,,RL_RS33555,pRL120124,-,putative NAD-dependent epimerase/dehydratase
WP_225510578.1,,RL_RS33560,pRL120125,-,putative short-chain dehydrogenase
