new.locus.tag,KEGG_ko,Name_description
SM_RS06995,K02933,"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
SM_RS07000,K02881,"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
SM_RS07005,K02988,"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
SM_RS07010,K02907,"RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30"
SM_RS07015,K02876,"RP-L15, MRPL15, rplO; large subunit ribosomal protein L15"
SM_RS07020,K03076,secY; preprotein translocase subunit SecY
SM_RS07025,K00939,"adk, AK; adenylate kinase [EC:2.7.4.3]"
SM_RS07030,K02952,"RP-S13, rpsM; small subunit ribosomal protein S13"
SM_RS07035,K02948,"RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
SM_RS07040,K03040,rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
SM_RS07045,K02879,"RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17"
SM_RS07050,K17247,msrQ; methionine sulfoxide reductase heme-binding subunit
SM_RS07055,K07147,msrP; methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]
SM_RS07060,,
SM_RS07065,K07478,ycaJ; putative ATPase
SM_RS07070,K11741,sugE; quaternary ammonium compound-resistance protein SugE
SM_RS07075,,
SM_RS07080,K01091,gph; phosphoglycolate phosphatase [EC:3.1.3.18]
SM_RS07085,K06179,rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
SM_RS07090,K06199,"crcB, FEX; fluoride exporter"
SM_RS07095,K01070,"frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]"
SM_RS07100,,
SM_RS07105,K09768,K09768; uncharacterized protein
SM_RS07110,K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
SM_RS07115,,
SM_RS07120,K03801,lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]
SM_RS07130,K07180,prkA; serine protein kinase
SM_RS07135,K09786,K09786; uncharacterized protein
SM_RS07140,,
SM_RS07145,,
SM_RS07150,,
SM_RS07155,K01462,"PDF, def; peptide deformylase [EC:3.5.1.88]"
SM_RS07160,K06213,mgtE; magnesium transporter
SM_RS07165,,
SM_RS07170,,
SM_RS07175,,
SM_RS07180,,
SM_RS07185,K01752,"E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]"
SM_RS07190,,
SM_RS07195,,
SM_RS07200,K01286,E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
SM_RS07205,,
SM_RS07210,,
SM_RS07215,,
SM_RS07220,,
SM_RS07225,,
SM_RS07230,,
SM_RS07235,K07001,K07001; NTE family protein
SM_RS07240,K01496,hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
SM_RS07245,K01495,"GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]"
SM_RS07250,,
SM_RS07255,K08998,K08998; uncharacterized protein
SM_RS07260,,
SM_RS07265,,
SM_RS07270,K01868,"TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]"
SM_RS07275,,
SM_RS07280,,
SM_RS07285,,
SM_RS07290,,
SM_RS07295,,
SM_RS07300,,
SM_RS07305,K03829,yedL; putative acetyltransferase [EC:2.3.1.-]
SM_RS07310,K02622,parE; topoisomerase IV subunit B [EC:5.6.2.2]
SM_RS07315,,
SM_RS07320,,
SM_RS07325,,
SM_RS07330,,
SM_RS07335,K01803,"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
SM_RS07340,K03075,secG; preprotein translocase subunit SecG
SM_RS07345,K01937,"pyrG, CTPS; CTP synthase [EC:6.3.4.2]"
SM_RS07350,,
SM_RS07355,K01627,kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
SM_RS07360,K01689,"ENO, eno; enolase [EC:4.2.1.11]"
SM_RS07365,,
SM_RS07370,K00161,"PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]"
SM_RS07375,K00162,"PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]"
SM_RS07380,K00627,"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]"
SM_RS07385,,
SM_RS07390,,
SM_RS07395,K00382,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
SM_RS07400,,
SM_RS07405,K03644,"lipA, LIAS, LIP1, LIP5; lipoyl synthase [EC:2.8.1.8]"
SM_RS07410,,
SM_RS07415,K18588,COQ10; coenzyme Q-binding protein COQ10
SM_RS07420,K03743,pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
SM_RS07425,K12506,"ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]"
SM_RS07430,,
SM_RS07435,K07708,"glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"
SM_RS07440,K07712,"glnG, ntrC; two-component system, NtrC family, nitrogen regulation response regulator GlnG"
SM_RS07445,K13598,"ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]"
SM_RS07450,K13599,"ntrX; two-component system, NtrC family, nitrogen regulation response regulator NtrX"
SM_RS07455,K03499,"trkA, ktrA, ktrC; trk/ktr system potassium uptake protein"
SM_RS07460,K00824,dat; D-alanine transaminase [EC:2.6.1.21]
SM_RS07465,K03666,hfq; host factor-I protein
SM_RS07470,K03665,hflX; GTPase
SM_RS07475,K07497,K07497; putative transposase
SM_RS07480,K04765,mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]
SM_RS07485,,
SM_RS07490,K02302,cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
SM_RS07495,,
SM_RS07500,K00381,cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
SM_RS07505,,
SM_RS07510,K00528,fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
SM_RS07515,K06218,"relE, stbE; mRNA interferase RelE/StbE"
SM_RS07520,K09972,"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]"
SM_RS07525,K09971,"aapM, bztC; general L-amino acid transport system permease protein"
SM_RS07530,K09970,"aapQ, bztB; general L-amino acid transport system permease protein"
SM_RS07535,K09969,"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
SM_RS07540,K01760,metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
SM_RS07545,,
SM_RS07550,,
SM_RS07555,,
SM_RS07560,K00640,cysE; serine O-acetyltransferase [EC:2.3.1.30]
SM_RS07565,,
SM_RS07570,,
SM_RS07575,K06891,clpS; ATP-dependent Clp protease adaptor protein ClpS
SM_RS07580,K03694,clpA; ATP-dependent Clp protease ATP-binding subunit ClpA
SM_RS07585,,
SM_RS07590,,
SM_RS07595,K02503,"HINT1, hinT, hit; histidine triad (HIT) family protein"
SM_RS07600,K09919,K09919; uncharacterized protein
SM_RS07605,,
SM_RS07610,,
SM_RS07615,,
SM_RS07620,K02967,"RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2"
SM_RS07625,K02357,"tsf, TSFM; elongation factor Ts"
SM_RS07630,K09903,pyrH; uridylate kinase [EC:2.7.4.22]
SM_RS07635,K02838,"frr, MRRF, RRF; ribosome recycling factor"
SM_RS07640,K00806,uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
SM_RS07645,K00981,"E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]"
SM_RS07650,K11749,rseP; regulator of sigma E protease [EC:3.4.24.-]
SM_RS07655,K07277,"SAM50, TOB55, bamA; outer membrane protein insertion porin family"
SM_RS07660,K02536,lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
SM_RS07665,K02372,fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
SM_RS07670,K00677,lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
SM_RS07675,K09949,"lpxI; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"
SM_RS07680,K00748,lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
SM_RS07685,,
SM_RS07695,K01647,"CS, gltA; citrate synthase [EC:2.3.3.1]"
SM_RS07700,,
SM_RS07705,K03561,exbB; biopolymer transport protein ExbB
SM_RS07710,K03559,exbD; biopolymer transport protein ExbD
SM_RS07715,K00573,"E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]"
SM_RS07720,K12340,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein"
SM_RS07725,K09991,K09991; uncharacterized protein
SM_RS07730,K01873,"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]"
SM_RS07735,K06076,fadL; long-chain fatty acid transport protein
SM_RS07740,K25885,exoR; exopolysaccharide production negative regulator
SM_RS07745,K01142,"E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]"
SM_RS07750,K06131,clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]
SM_RS07755,,
SM_RS07760,K01129,dgt; dGTPase [EC:3.1.5.1]
SM_RS07765,K01887,"RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]"
SM_RS07770,,
SM_RS07775,K01207,nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]
SM_RS07780,K05896,scpA; segregation and condensation protein A
SM_RS07785,K06024,scpB; segregation and condensation protein B
SM_RS07790,K02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]"
SM_RS07795,K03116,tatA; sec-independent protein translocase protein TatA
SM_RS07800,K03117,tatB; sec-independent protein translocase protein TatB
SM_RS07805,K03118,tatC; sec-independent protein translocase protein TatC
SM_RS07810,K01875,"SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]"
SM_RS07815,K03787,surE; 5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]
SM_RS07820,K00573,"E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]"
SM_RS07825,,
SM_RS07830,,
SM_RS07835,K06923,K06923; uncharacterized protein
SM_RS07840,K03210,yajC; preprotein translocase subunit YajC
SM_RS07845,K12257,secDF; SecD/SecF fusion protein
SM_RS07850,,
SM_RS07855,K02291,crtB; 15-cis-phytoene synthase [EC:2.5.1.32]
SM_RS07860,,
SM_RS07865,K04094,"trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]"
SM_RS07875,,
SM_RS07885,K03545,tig; trigger factor
SM_RS07890,K00281,"GLDC, gcvP; glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]"
SM_RS07895,K02437,"gcvH, GCSH; glycine cleavage system H protein"
SM_RS07900,K00605,"gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]"
SM_RS07910,K09796,pccA; periplasmic copper chaperone A
SM_RS07915,,
SM_RS07920,K07493,K07493; putative transposase
SM_RS31270,,
SM_RS07925,,
SM_RS07930,K00525,"E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
SM_RS07935,,
SM_RS07940,K03701,uvrA; excinuclease ABC subunit A
SM_RS07945,K03111,ssb; single-strand DNA-binding protein
SM_RS07950,K05595,marC; multiple antibiotic resistance protein
SM_RS07955,K02469,gyrA; DNA gyrase subunit A [EC:5.6.2.2]
SM_RS07960,,
SM_RS07965,K24217,mnaT; L-amino acid N-acyltransferase [EC:2.3.1.-]
SM_RS07970,K04343,strB; streptomycin 6-kinase [EC:2.7.1.72]
SM_RS07975,K10680,nemA; N-ethylmaleimide reductase [EC:1.-.-.-]
SM_RS07980,,
SM_RS07985,,
SM_RS07990,K00384,"trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]"
SM_RS07995,,
SM_RS08000,,
SM_RS08005,,
SM_RS08010,,
SM_RS08015,K12989,lpcC; mannosyltransferase [EC:2.4.1.-]
SM_RS08020,K03624,greA; transcription elongation factor GreA
SM_RS08025,,
SM_RS08030,,
SM_RS08035,K01955,"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
SM_RS08040,,
SM_RS08045,K07054,K07054; uncharacterized protein
SM_RS08050,K08151,"tetA; MFS transporter, DHA1 family, tetracycline resistance protein"
SM_RS08055,K03327,"TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family"
SM_RS31695,,
SM_RS08065,K00954,"E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
SM_RS08070,K03767,PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
SM_RS08075,K03768,"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
SM_RS08080,K07568,queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
SM_RS08085,K00773,tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
SM_RS08090,K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein
SM_RS08095,K07124,K07124; uncharacterized protein
SM_RS08105,,
SM_RS08110,,
SM_RS08120,,
SM_RS08125,,
SM_RS08130,,
SM_RS08135,,
SM_RS08140,,
SM_RS08150,,
SM_RS08160,K07482,"K07482; transposase, IS30 family"
SM_RS08165,K06167,"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"
SM_RS08170,K03424,tatD; TatD DNase family protein [EC:3.1.21.-]
SM_RS08175,K01874,"MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]"
SM_RS08180,,
SM_RS08185,K02341,holB; DNA polymerase III subunit delta' [EC:2.7.7.7]
SM_RS08190,K00943,"tmk, DTYMK; dTMP kinase [EC:2.7.4.9]"
SM_RS08195,K07258,"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"
SM_RS08200,K03642,rlpA; rare lipoprotein A
SM_RS08220,,
SM_RS08225,,
SM_RS08240,K01356,lexA; repressor LexA [EC:3.4.21.88]
SM_RS08250,,
SM_RS08255,,
SM_RS08260,,
SM_RS08270,K11743,mdtJ; spermidine export protein MdtJ
SM_RS08275,K11742,mdtI; spermidine export protein MdtI
SM_RS08280,,
SM_RS08285,,
SM_RS08290,,
SM_RS08295,K01738,cysK; cysteine synthase [EC:2.5.1.47]
SM_RS08300,K07050,"AARSD1, ALAX; misacylated tRNA(Ala) deacylase [EC:3.1.1.-]"
SM_RS08305,K01011,"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]"
SM_RS08310,,
SM_RS08315,,
SM_RS08320,K00259,ald; alanine dehydrogenase [EC:1.4.1.1]
SM_RS08325,K03719,"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
SM_RS08330,K01119,"cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]"
SM_RS08335,,
SM_RS08340,K01754,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
SM_RS08345,K03498,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein"
SM_RS08350,,
SM_RS08360,,
SM_RS08375,,
SM_RS08380,,
SM_RS08385,K03809,wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
SM_RS08390,,
SM_RS08395,K00769,gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
SM_RS08400,K23997,nnr; ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]
SM_RS08405,K04751,glnB; nitrogen regulatory protein P-II 1
SM_RS08410,K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
SM_RS08415,K11940,hspQ; heat shock protein HspQ
SM_RS08420,,
SM_RS08425,K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
SM_RS08430,,
SM_RS08435,,
SM_RS08440,,
SM_RS08445,,
SM_RS31275,,
SM_RS08450,K01142,"E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]"
SM_RS08455,,
SM_RS08465,K03723,mfd; transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]
SM_RS08470,K09159,cptB; antitoxin CptB
SM_RS08475,K03655,recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4]
SM_RS08480,,
SM_RS08485,K03824,yhbS; putative acetyltransferase [EC:2.3.1.-]
SM_RS08490,K00820,"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"
SM_RS08495,K04042,glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
SM_RS08500,K03324,yjbB; phosphate:Na+ symporter
SM_RS08505,K03770,ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
SM_RS08510,K00766,trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
SM_RS08515,K01609,trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
SM_RS08520,K03637,"moaC, CNX3; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"
SM_RS08525,K03750,moeA; molybdopterin molybdotransferase [EC:2.10.1.1]
SM_RS08530,,
SM_RS08535,K03699,"tlyC; magnesium and cobalt exporter, CNNM family"
SM_RS08540,,
SM_RS08545,K07335,"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"
SM_RS08550,K23536,nupC; general nucleoside transport system permease protein
SM_RS08555,K23535,nupB; general nucleoside transport system permease protein
SM_RS08560,K23537,nupA; general nucleoside transport system ATP-binding protein
SM_RS08565,K00344,"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
SM_RS08570,K01004,pcs; phosphatidylcholine synthase [EC:2.7.8.24]
SM_RS08580,K03185,ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
SM_RS08585,K13936,mdcF; malonate transporter and related proteins
SM_RS08590,K06196,ccdA; cytochrome c-type biogenesis protein
SM_RS08600,,
SM_RS08615,,
SM_RS08625,,
SM_RS08630,,
SM_RS08635,,
SM_RS08640,,
SM_RS08645,,
SM_RS08650,K16079,omp31; outer membrane immunogenic protein
SM_RS08660,,
SM_RS08665,,
SM_RS08670,K00666,K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]
SM_RS08675,K00626,"ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
SM_RS08680,,
SM_RS08685,,
SM_RS08690,,
SM_RS08695,,
SM_RS08700,K23248,oiaC; 3-oxoisoapionate decarboxylase [EC:4.1.1.120]
SM_RS08705,,
SM_RS08710,K00615,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
SM_RS08715,K00615,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
SM_RS08720,K21395,yiaO; TRAP-type transport system periplasmic protein
SM_RS08725,,
SM_RS08730,,
SM_RS08735,K08319,ltnD; L-threonate 2-dehydrogenase [EC:1.1.1.411]
SM_RS08740,,
SM_RS08745,,
SM_RS08750,,
SM_RS08755,K05800,ybaO; Lrp/AsnC family transcriptional regulator
SM_RS08760,,
SM_RS08770,,
SM_RS08775,,
SM_RS08780,,
SM_RS08790,K07493,K07493; putative transposase
SM_RS08795,,
SM_RS08805,,
SM_RS08815,K09005,K09005; uncharacterized protein
SM_RS08820,K03704,cspA; cold shock protein
SM_RS08825,K01759,"GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]"
SM_RS08830,,
SM_RS08855,K07462,recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
SM_RS08860,K00003,hom; homoserine dehydrogenase [EC:1.1.1.3]
SM_RS08865,K14261,alaC; alanine-synthesizing transaminase [EC:2.6.1.-]
SM_RS08870,,
SM_RS08875,K03821,"phaC, phbC; poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC [EC:2.3.1.304]"
SM_RS08880,K06206,sfsA; sugar fermentation stimulation protein A
SM_RS08885,K01265,map; methionyl aminopeptidase [EC:3.4.11.18]
SM_RS08890,K03630,radC; DNA repair protein RadC
SM_RS08895,K00322,"sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]"
SM_RS08900,K13628,iscA; iron-sulfur cluster assembly protein
SM_RS08905,,
SM_RS08910,K11717,sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
SM_RS08915,K09015,sufD; Fe-S cluster assembly protein SufD
SM_RS08920,K09013,sufC; Fe-S cluster assembly ATP-binding protein
SM_RS08925,K09014,sufB; Fe-S cluster assembly protein SufB
SM_RS08930,K04487,"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
SM_RS08935,K07018,K07018; uncharacterized protein
SM_RS08940,,
SM_RS08945,K09001,anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
SM_RS08950,K01866,"YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]"
SM_RS08955,,
SM_RS08960,K03564,"BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]"
SM_RS08970,,
SM_RS08975,,
SM_RS08980,,
SM_RS08985,,
SM_RS08990,K07141,mocA; molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
SM_RS08995,K07402,xdhC; xanthine dehydrogenase accessory factor
SM_RS09000,,
SM_RS09005,K07161,K07161; uncharacterized protein
SM_RS09010,,
SM_RS09015,K13786,"cobR; cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.-]"
SM_RS09020,K01999,livK; branched-chain amino acid transport system substrate-binding protein
SM_RS09025,,
SM_RS09030,K01783,"rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]"
SM_RS09035,,
SM_RS09040,,
SM_RS09045,K01756,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]"
SM_RS09050,,
SM_RS09055,,
SM_RS09060,K07002,RBBP9; serine hydrolase [EC:3.-.-.-]
SM_RS09065,K16516,"galR; LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway"
SM_RS09070,K16515,galB; 4-oxalomesaconate hydratase [EC:4.2.1.83]
SM_RS09075,K10218,"ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]"
SM_RS09080,,
SM_RS09085,K07793,tctA; putative tricarboxylic transport membrane protein
SM_RS09090,,
SM_RS09095,,
SM_RS09100,K16514,galD; 4-oxalomesaconate tautomerase [EC:5.3.2.8]
SM_RS09105,,
SM_RS09110,K01923,purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
SM_RS09115,K23264,purS; phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]
SM_RS09120,K23265,purQ; phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]
SM_RS09125,,
SM_RS09135,,
SM_RS09140,K12976,pagL; lipid A 3-O-deacylase [EC:3.1.1.-]
SM_RS09145,K23269,purL; phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]
SM_RS09150,,
SM_RS09160,K07390,"grxD, GLRX5; monothiol glutaredoxin"
SM_RS09165,K07552,"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"
SM_RS09170,K07552,"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"
SM_RS09175,,
SM_RS09180,K14058,ttcA; tRNA 2-thiocytidine biosynthesis protein TtcA
SM_RS09185,K01425,"glsA, GLS; glutaminase [EC:3.5.1.2]"
SM_RS09190,K02986,"RP-S4, rpsD; small subunit ribosomal protein S4"
SM_RS09195,,
SM_RS09200,K01776,murI; glutamate racemase [EC:5.1.1.3]
SM_RS09205,K02533,lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-]
SM_RS09210,,
SM_RS09215,K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
SM_RS09220,,
SM_RS09225,,
SM_RS09230,,
SM_RS09235,,
SM_RS09240,K03321,"TC.SULP; sulfate permease, SulP family"
SM_RS09245,K01872,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
SM_RS09250,K03553,recA; recombination protein RecA
SM_RS09255,,
SM_RS09260,K16329,psuG; pseudouridylate synthase [EC:4.2.1.70]
SM_RS09265,K13587,"cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]"
SM_RS09270,,
SM_RS09275,K06204,dksA; DnaK suppressor protein
SM_RS09280,,
SM_RS09285,K06918,K06918; uncharacterized protein
SM_RS09290,K08990,ycjF; putative membrane protein
SM_RS09295,,
SM_RS09300,K00950,folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
SM_RS09305,K01633,"folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"
SM_RS09310,K00796,folP; dihydropteroate synthase [EC:2.5.1.15]
SM_RS09315,,
SM_RS09320,K04755,"fdx; ferredoxin, 2Fe-2S"
SM_RS09325,,
SM_RS09335,,
SM_RS09340,K00413,"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
SM_RS09345,K00412,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
SM_RS09350,K00411,"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
SM_RS09355,K18893,"vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump"
SM_RS09360,K18893,"vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump"
SM_RS09365,K03216,"trmL, cspR; tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]"
SM_RS09370,,
SM_RS09375,K13639,"soxR; MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR"
SM_RS09380,,
SM_RS09385,,
SM_RS09390,K00228,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
SM_RS09395,,
SM_RS09410,K18480,linN; cholesterol transport system auxiliary component
SM_RS09415,K02067,"mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein"
SM_RS09420,K02065,"mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein"
SM_RS09425,K02066,"mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein"
SM_RS09430,K19802,"ycjG, ykfB, dgcA; L-Ala-D/L-Glu epimerase / N-acetyl-D-glutamate racemase [EC:5.1.1.20 5.1.1.-]"
SM_RS09435,K05820,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter"
SM_RS09440,,
SM_RS09445,K00029,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
SM_RS09450,K19733,"sinR, avsR; LuxR family transcriptional regulator, quorum-sensing system regulator SinR"
